dlga_start:lco_conversation_end|Tady jsi.
dlga_start:close_window.1|...
dlga_start:close_window.2|Snažím se tu něco zahrát.
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Přeji si odložit jmenování lorda, než se o tom poradím.
dlga_award_fief_to_vassal_defer:close_window|Jak si přeješ, {můj pane/má paní}. Můžeš to rozhodnout později
dlga_award_fief_to_vassal_2:close_window|Jak si přeješ, {můj pane/má paní}.
dlga_event_triggered:center_captured_rebellion|{s1} není nikým spravován. Koho bych tím měl pověřit?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Chci si nechat {s1} pro sebe. (léna: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|Měl bys mít {s1} pro sebe. (fiefs: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2_defer|Neměl bys teď nikoho jmenovat a rozhodnout se později.
dlga_center_captured_rebellion_2_defer:close_window|Hmmm. Tak dobře, {playername}. Cením si tvé rady. Jmenování lorda {s1} odložím na později.
dlga_center_captured_rebellion_2:close_window|Hmmm. Tak dobrá, {playername}. Cením si tvé rady. {reg6?Budu:{reg7?Budeš:{s11} bude}} {reg3?novou paní:novým pánem} {s1}.
dlga_start:fighter_talk|Zdravím. Vybrušujeme si tu své bojové schopnosti s trochou sparing tréninku. Vypadáš, že by se ti nějaký trénink hodil. Přidej se k nám a my ti ukážeme pár triků. A pokud potřebuješ vysvětlit cokoliv ohledně soubojů, prostě se mě zeptej a pokusím se ti to co nejlépe vysvětlit.
dlga_start:fighter_talk.1|Co si chceš procvičit?
dlga_fighter_pretalk:fighter_talk|Řekni mi co za cvičení chceš.
dlga_fighter_talk:fighter_talk_train_attack|Chci si procvičit výpady.
dlga_fighter_talk:fighter_talk_train_parry|Chci si procvičit obranu se zbraní.
dlga_fighter_talk:fighter_talk_train_combat|Pojďme na sparing.
dlga_fighter_talk:close_window|[Opustit]
