str_no_string|ŽÁDNÝ TEXT!
; str_empty_string _txss _txss= _txss" "
str_yes|Ano.
str_no|Ne.
; str_blank_string _txss _txss= _txss" "
str_noone|nikdo
str_s50_and_s51|{s50} a {s51}
str_s52_and_s51|{s52} a {s51}
str_s5_s_party|Družina {s5}
; str_given_by_s1_at_s2|Given by {s1} at {s2}
; str_given_by_s1_in_wilderness|Given by {s1} whilst in the field
str_s7_raiders|{s7} nájezdníků
str_bandits_eliminated_by_another|Problémoví bandité byli zabiti jinou družinou.
str_msg_battle_won|Bitva je vyhrána! Stiskni Tab pro ukončení...
str_tutorial_map1|Díváš se na mapu země. Levým kliknutím se Tvá družina přesune na danou pozici, vstoupí do vybraného města, nebo osloví vybranou družinu. Čas je pozastaven pokud se Tvá družina nehýbe, čeká, nebo odpočívá. Pro plynutí času během čekání stiskni a podrž mezerník.
str_cheese_rustlers_eliminated_by_another|Zloději byli zabiti jinou družinou.
str_elites_eliminated_by_another|Rolníci byli zabiti jinou družinou.
str_randomize|Náhodné
str_charge|Útok
str_color|Barva
str_flip_horizontal|Prohodit horizontálně
str_flip_vertical|Prohodit vertikálně
str_hold_fire|Zadržet palbu
; str_blunt_hold_fire|Blunt / Hold Fire
str_tutorial_ammo_refilled|Munice doplněna
str_tutorial_failed|Tentokrát si byl poražen, ale neměj obavy. Pozorně sleduj instrukce a příště si povedeš lépe. Stiskni Tab pro návrat do menu, kde můžeš opustit tento tutoriál.
str_finished|(Dokončeno)
str_delivered_damage|Způsobeno {reg60} zranění.
str_archery_target_hit|Vzdálenost: {reg61} yardů. Scóre: {reg60}
; str_use_baggage_for_inventory|Use your baggage to access your inventory during battle (it's at your starting position).
str_cant_use_inventory_now|Teď nemáš přístup k inventáři.
str_cant_use_inventory_arena|Nemáš přístup k inventáři v aréně.
str_cant_use_inventory_disguised|Nemáš přístup k inventáři v převleku.
str_cant_use_inventory_tutorial|Nemáš přístup k inventáři na cvičišti.
str_1_denar|1 mince
str_reg1_denars|{reg1} mincí
; str_january_reg1_reg2|{reg1} of the first moon, {reg2} {reg3} O'clock
; str_february_reg1_reg2|{reg1} of the second moon, {reg2} {reg3} O'clock
; str_march_reg1_reg2|{reg1} of the third moon, {reg2} {reg3} O'clock
; str_april_reg1_reg2|{reg1} of the fourth moon, {reg2} {reg3} O'clock
; str_may_reg1_reg2|{reg1} of the fifth moon, {reg2} {reg3} O'clock
; str_june_reg1_reg2|{reg1} of the sixth moon, {reg2} {reg3} O'clock
; str_july_reg1_reg2|{reg1} of the seventh moon, {reg2} {reg3} O'clock
; str_august_reg1_reg2|{reg1} of the eight moon, {reg2} {reg3} O'clock
; str_september_reg1_reg2|{reg1} of the ninth moon, {reg2} {reg3} O'clock
; str_october_reg1_reg2|{reg1} of the tenth moon, {reg2} {reg3} O'clock
; str_november_reg1_reg2|{reg1} of the eleventh moon, {reg2} {reg3} O'clock
; str_december_reg1_reg2|{reg1} of the twelfth moon, {reg2} {reg3} O'clock
; str_january_reg1_reg2_v2|{reg1} of the first moon, {reg2} {reg3} O'clock
; str_february_reg1_reg2_v2|{reg1} of the second moon, {reg2} {reg3} O'clock
; str_march_reg1_reg2_v2|{reg1} of the third moon, {reg2} {reg3} O'clock
; str_april_reg1_reg2_v2|{reg1} of the fourth moon, {reg2} {reg3} O'clock
; str_may_reg1_reg2_v2|{reg1} of the fifth moon, {reg2} {reg3} O'clock
; str_june_reg1_reg2_v2|{reg1} of the sixth moon, {reg2} {reg3} O'clock
; str_july_reg1_reg2_v2|{reg1} of the seventh moon, {reg2} {reg3} O'clock
; str_august_reg1_reg2_v2|{reg1} of the eight moon, {reg2} {reg3} O'clock
; str_september_reg1_reg2_v2|{reg1} of the ninth moon, {reg2} {reg3} O'clock
; str_october_reg1_reg2_v2|{reg1} of the tenth moon, {reg2} {reg3} O'clock
; str_november_reg1_reg2_v2|{reg1} of the eleventh moon, {reg2} {reg3} O'clock
; str_december_reg1_reg2_v2|{reg1} of the twelfth moon, {reg2} {reg3} O'clock
; str_town_nighttime| It is late at night and honest folk have abandoned the streets.
; str_door_locked|The door is locked.
; str_castle_is_abondened|The castle seems to be unoccupied.
; str_town_is_abondened|The town has no garrison defending it.
; str_place_is_occupied_by_player|The place is held by your own troops.
; str_place_is_occupied_by_enemy|The place is held by hostile troops.
; str_place_is_occupied_by_friendly|The place is held by friendly troops.
; str_do_you_want_to_retreat|Are you sure you want to retreat?
; str_give_up_fight|Give up the fight?
; str_do_you_wish_to_leave_tutorial|Do you wish to leave the tutorial?
; str_do_you_wish_to_surrender|Do you wish to surrender?
; str_can_not_retreat|Can't retreat, there are enemies nearby!
; str_s1_joined_battle_enemy|{s1} has joined the battle on the enemy side.
; str_s1_joined_battle_friend|{s1} has joined the battle on your side.
; str_entrance_to_town_forbidden|The town guards are on the lookout for intruders and it seems that you won't be able to pass through the gates unchallenged.
; str_sneaking_to_town_impossible|The town guards are alarmed. You wouldn't be able to sneak through that gate no matter how well you disguised yourself.
; str_battle_won|You have won the battle!
; str_battle_lost|You have lost the battle!
; str_attack_walls_success|After a bloody fight, your brave soldiers manage to claim the walls from the enemy.
; str_attack_walls_failure|Your soldiers fall in waves as they charge the walls, and the few who remain alive soon rout and run away, never to be seen again.
; str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the castle remains in enemy hands.
; str_order_attack_success|Your men fight bravely and defeat the enemy.
; str_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.
; str_order_attack_continue|Despite an extended skirmish, your troops were unable to win a decisive victory.
