qst_deliver_message|Doruč zprávu {s13}
qst_deliver_message_to_enemy_lord|Doruč zprávu {s13}
qst_raise_troops|Vicvyč {reg1} {s14}
qst_escort_lady|Doprovoď {s13} do {s14}
qst_deal_with_bandits_at_lords_village|Zachraň vesnici {s15} před bandity
qst_collect_taxes|Vyber daně z {s3}
qst_hunt_down_fugitive|Zabij {s4}
qst_kill_local_merchant|Zabij místního obchodníka v {s3}
qst_bring_back_runaway_serfs|Přiveď zpět uprchlé rolníky
qst_follow_spy|Následuj zvěda na dohodnuté místo
qst_capture_enemy_hero|Zajmi lorda z {s13}
qst_lend_companion|Propůjč svého společníka {s3} {s9} 
qst_collect_debt|Vyber dluh {s3} patřící {s9}
qst_incriminate_loyal_commander|Obviň věrného velitele z {s13}, {s16}
qst_meet_spy_in_enemy_town|Sejdi se se zvědem v {s13}
qst_capture_prisoners|Přiveď {reg1} {s3} věznů
qst_deliver_love_letter|Dones zprávu {s13}
qst_lend_surgeon|Propůjč svého chirurga {s3} {s1}
qst_follow_army|Následuj armádu {s9}
qst_report_to_army|Hlas se maršálovy {s13}
qst_deliver_cattle_to_army|Přiveď {reg3} kusů dobytka {s13}
qst_join_siege_with_army|Přidej se k obléhání {s14}
qst_screen_army|Zálohy armády {s13}
qst_scout_waypoints|Prozkoumej {s13}, {s14} a {s15}
qst_rescue_lord_by_replace|Osvoboď {s13} z {s14}
qst_deliver_message_to_prisoner_lord|Dones zprávu {s13} v {s14}
qst_duel_for_lady|Vyzvat {s13} na rozsouzení boje.
qst_duel_courtship_rival|Vyzvat {s13} na rozsouzení boje (dobrovolné).
qst_duel_avenge_insult|Vyzvat {s13} na rozsouzení boje.
qst_move_cattle_herd|Přesuň stádo do {s13}
qst_escort_merchant_caravan|Doprovoď karavanu do {s8}
qst_deliver_wine|Doruč {reg5} jednotek {s6} do {s4}
qst_troublesome_bandits|Zabij problémové bandity
qst_kidnapped_girl|Osvoboď dívku ze zajetí banditů
qst_persuade_lords_to_make_peace|Zajisti, aby se dva lordi přestali stavět proti mírové dohodě
qst_deal_with_looters|Vypořádej se se zloději
qst_deal_with_night_bandits|Vypořádej se s nočními bandity
qst_cheese_rustlers|Zabij zloděje obilí
qst_cheese_rustlers_text|{s9} z {s4} tě požádal, aby jsi zabil zloděje obílí v okolí města.
qst_cheese_paladins|Zabij zloděje vína.
qst_cheese_paladins_text|{s9} z {s4} tě požádal, aby jsi zabil zloděje vína v okolí města.
qst_bar_brawl|Vyčisti město
qst_bar_brawl_text|{s9} z {s4} tě požádal, aby jsi se vypořádat s opilci v hospodě.
qst_deliver_grain|Přines obilí do {s3}
qst_deliver_cattle|Doruč {reg5} kusů dobytka do {s3}
qst_train_peasants_against_bandits|Vycvič sedláky {s13} proti banditům
qst_escort_scholars|Doprovoď šlechtice do {s8}
qst_escort_scholars_text|Doprovoď šlechtice do města {s8}.
qst_hunt_down_smugglers|Zabij pašeráky
qst_hunt_down_smugglers_text|{s9} tě požádal, aby ses vypořádal s pašeráky. Tvrdí, že všechny skupiny cestují směrem na {s3}.
qst_hunt_down_girl|Zabij {s4}
qst_hunt_down_girl_text|{s9} tě požádal, aby jsi zabil dívku jménem {s4}. Měla by být v {s3}.
qst_deliver_lumber|Přines dříví do {s3}
qst_deliver_lumber_text|Stařešina vesnice {s3} tě požádal, abys jim přinesl {reg5} fůr dříví.
qst_kidnapped_wife|Osvoboď ženu od banditů.
qst_kidnapped_wife_text|Vesnický stařešina {s4} tě žádá o zaplacení výkupného jedné z farmářských žen. Bandity potkáš poblíž {s3} a zaplatíš jim výkupné. Potom dívku přivedeš zpět do vesnice {s4}.
qst_eliminate_bandits_infesting_village|Zachraň vesnici {s7} před bandity
qst_visit_lady|Navštiv paní
qst_formal_marriage_proposal|Oficiální nabídka manželství
qst_obtain_liege_blessing|Oficiální nabídka manželství
qst_wed_betrothed|Vezmi si svou snoubenku
qst_wed_betrothed_female|Vezmi si svého snoubence
qst_join_faction|Složit přísahu cti {s1}
qst_rebel_against_kingdom|Pomoz {s13} získat trůn {s14}.
qst_consult_with_minister|Poraď se s ministrem
qst_organize_feast|Uspořádej hostinu
qst_resolve_dispute|Vyřešit spor
qst_offer_gift|Obstarej dar
qst_denounce_lord|Vypovědět lorda
qst_intrigue_against_lord|Intrikovat proti lordu
qst_track_down_bandits|Vystopuj bandity
qst_track_down_provocateurs|Vystopovat provokatéry
qst_retaliate_for_border_incident|Odveta za pohraniční incident
qst_raid_caravan_to_start_war|Zaútoč na karavanu pro vyprovokování války
qst_cause_provocation|Vyprovokovat království k útoku na jiné
qst_rescue_prisoner|Osvoboď vězně
qst_destroy_bandit_lair|Znič doupě banditů
qst_beowulf_quest|Roh a grimoár: Část 1
qst_beowulf_quest1|Roh a grimoár: Část 2
qst_beowulf_quest2|Roh a grimoár: Část 3
qst_beowulf_quest3|Roh a grimoár: Část 4
qst_beowulf_quest4|Roh a grimoár: Část 5
qst_beowulf_quest5|Roh a grimoár: Část 6
qst_beowulf_quest6|Roh a grimoár: Část 7
qst_relic_quest|Požehnaný prsten: Část 1
qst_relic_quest1|Požehnaný prsten: Část 2
qst_ramsay_quest|Bastard Boltnů: Část 1
qst_ramsay_quest1|Bastard Boltnů: Část 2
qst_ramsay_quest2|Bastard Boltnů: Část 3
qst_tyrion_quest|Slyš můj řev: Část 1
qst_tyrion_quest1|Slyš můj řev: Část 2
; qst_qohor_blacksmith_quest_1|The City of Sorcerers: Part 1
; qst_qohor_blacksmith_quest_2|The City of Sorcerers: Part 2
; qst_qohor_blacksmith_quest_3|The City of Sorcerers: Part 3
qst_starting_quest_1_1|Nový začátek: Část 1
qst_starting_quest_1_2|Nový začátek: Část 2
qst_starting_quest_1_3|Cesta k Devíti hvězdám: Část 1
qst_starting_quest_1_4|Cesta k Devíti hvězdám: Část 2
qst_starting_quest_1_5|Cesta k Devíti hvězdám: Část 3
qst_starting_quest_1_6|Rozsouzení bojem: Část 1
qst_starting_quest_1_7|Rozsouzení bojem: Část 2
qst_terror_quest_starter|Hrůza v mohyle: Část 1
; qst_yandel_quest_1|Illuminations: Part 1
; qst_yandel_quest_2|Illuminations: Part 2
qst_renly_quest_1|Korunovaný jelen: Část 1
qst_renly_quest_2|Korunovaný jelen: Část 2
qst_starting_quest_citadel|Rytíři mysli: Část 1
qst_citadel_quest_1|Ztracené znalosti: Část 1
qst_citadel_quest_2|Ztracené znalosti: Část 2
qst_citadel_quest_3|Ztracené znalosti: Část 3
qst_citadel_quest_4|Ztracené znalosti: Část 4
qst_citadel_quest_5|Ztracené znalosti: Část 5
qst_quaithe_quest|Noční pevnost: Část 1
qst_quaithe_quest1|Noční pevnost: Část 2
qst_quaithe_quest2|Noční pevnost: Část 3
qst_quaithe_quest3|Noční pevnost: Část 4
qst_quaithe_quest4|Noční pevnost: Část 5
qst_return_to_illyrio|Pán síra: Část 1
qst_return_to_illyrio2|Pán síra: Část 2
qst_gueren_quest|Noční hlídka: Část 1
qst_gueren_quest1|Noční hlídka: Část 2
