str_no_string|¡NO STRING!
str_empty_string| 
str_yes|Sí.
str_no|No.
str_blank_string| 
str_noone|nadie
str_s50_and_s51|{s50} y {s51}
str_s52_and_s51|{s52} y {s51}
str_s5_s_party|Tropas de {s5}
str_given_by_s1_at_s2|Asignado por {s1} en {s2}
str_given_by_s1_in_wilderness|Asignado por {s1} en las afueras
str_s7_raiders|{s7} asaltadores
str_bandits_eliminated_by_another|Otro grupo ha acabado con los bandidos problemáticos.
str_msg_battle_won|¡Victoria! Presionad Tab para salir...
str_tutorial_map1|Estáis viendo el mapa del mundo. Haced clic izquierdo en el mapa para mover vuestro grupo al sitio indicado, entrar en la ciudad elegida o perseguir al grupo seleccionado. El tiempo en el mapa del mundo no correrá si vuestro grupo está quieto, esperando o descansando. Para esperar en cualquier sitio, simplemente presionad y mantened presionada la tecla espaciadora.
str_cheese_rustlers_eliminated_by_another|Otro grupo de guerra ha acabado con los ladrones.
str_elites_eliminated_by_another|Otro grupo de guerra ha acabado con los campesinos.
str_randomize|Al azar
str_charge|Cargar
str_color|Color
str_flip_horizontal|Voltear horizontal
str_flip_vertical|Voltear vertical
str_hold_fire|Alto el fuego
str_blunt_hold_fire|Contundente/Alto el fuego
str_tutorial_ammo_refilled|Munición recargada.
str_tutorial_failed|Esta vez os han vencido, pero no os preocupéis. Seguid detenidamente las instrucciones y la próxima vez lo haréis mejor. Presionad la tecla Tab para regresar al menú donde podréis volver a jugar este tutorial.
str_finished|(Terminado)
str_delivered_damage|Causa {reg60} puntos de daño.
str_archery_target_hit|Distancia: {reg61} yardas. Puntuación: {reg60}
str_use_baggage_for_inventory|Utilizad vuestro equipaje para acceder a vuestro inventario en batalla (está en vuestra posición inicial).
str_cant_use_inventory_now|Imposible acceder al inventario en estos momentos.
str_cant_use_inventory_arena|Imposible acceder al inventario en la arena.
str_cant_use_inventory_disguised|Imposible acceder al inventario mientras se utiliza un disfraz.
str_cant_use_inventory_tutorial|Imposible acceder al inventario en el campo de entrenamiento.
str_1_denar|1 moneda
str_reg1_denars|{reg1} monedas
str_january_reg1_reg2|{reg1} de la primera luna, {reg2} {reg3} en punto
str_february_reg1_reg2|{reg1} de la segunda luna, {reg2} {reg3} en punto
str_march_reg1_reg2|{reg1} de la tercera luna, {reg2} {reg3} en punto
str_april_reg1_reg2|{reg1} de la cuarta luna, {reg2} {reg3} en punto
str_may_reg1_reg2|{reg1} de la quinta luna, {reg2} {reg3}en punto
str_june_reg1_reg2|{reg1} de la sexta luna, {reg2} {reg3} en punto
str_july_reg1_reg2|{reg1} de la séptima luna, {reg2} {reg3} en punto
str_august_reg1_reg2|{reg1} de la octava luna, {reg2} {reg3} en punto
str_september_reg1_reg2|{reg1} de la novena luna, {reg2} {reg3} en punto
str_october_reg1_reg2|{reg1} de la décima luna, {reg2} {reg3} en punto
str_november_reg1_reg2|{reg1} de la undécima luna, {reg2} {reg3} en punto
str_december_reg1_reg2|{reg1} de la duodécima luna, {reg2} {reg3} en punto
str_january_reg1_reg2_v2|{reg1} de la primera luna, {reg2} {reg3} en punto
str_february_reg1_reg2_v2|{reg1} de la segunda luna, {reg2} {reg3} en punto
str_march_reg1_reg2_v2|{reg1} de la tercera luna, {reg2} {reg3} en punto
str_april_reg1_reg2_v2|{reg1} de la cuarta luna, {reg2} {reg3} en punto
str_may_reg1_reg2_v2|{reg1} de la quinta luna, {reg2} {reg3}en punto
str_june_reg1_reg2_v2|{reg1} de la sexta luna, {reg2} {reg3} en punto
str_july_reg1_reg2_v2|{reg1} de la séptima luna, {reg2} {reg3} en punto
str_august_reg1_reg2_v2|{reg1} de la octava luna, {reg2} {reg3} en punto
str_september_reg1_reg2_v2|{reg1} de la novena luna, {reg2} {reg3} en punto
str_october_reg1_reg2_v2|{reg1} de la décima luna, {reg2} {reg3} en punto
str_november_reg1_reg2_v2|{reg1} de la undécima luna, {reg2} {reg3} en punto
str_december_reg1_reg2_v2|{reg1} de la duodécima luna, {reg2} {reg3} en punto
str_town_nighttime| Es tarde y no queda gente honesta por las calles.
str_door_locked|La puerta está cerrada.
str_castle_is_abondened|El castillo parece estar desierto.
str_town_is_abondened|La ciudad no tiene una guarnición que la defienda.
str_place_is_occupied_by_player|Este lugar está bajo el mando de vuestras tropas.
str_place_is_occupied_by_enemy|Este lugar está bajo el mando de tropas enemigas.
