ip_mod_tips|Consejos
ip_mod_tips_text|1. Tú puedes seleccionar un personaje de tu grupo para ser el comandante en las batallas y tomar el control de él/ella para pelear en las batallas personalmente. ^^2. En el menu autosaqueo, tú puedes dejar que tus compañeros escojan su equipo automáticamente, Tambien puedes hablar con ellos para decirles como actualizar sus equipos. ^^3. Tus compañeros pueden leer libros también,y tú puedes usar auto-saqueo para seleccionarles y que lean libros de forma automática.   ^^4. Tú puedes ajustar las posibilidades de que llueva o nieva en las opciones del campamento. Nevar para tierras nevadas o lluvia para las otras tierras. ^^5. Durante la autoventa, los items en el inventario de los compañeros que seleccionaste para vender y sus precios estan por debajo del precio límite del auto-venta serán vendidos automáticamente a los mercantes de las ciudades o a los ancianos de las aldeas. Especificamente la comida, los bienes comerciales y los libros nunca serán vendidos. ^^6. Puedes mover rapidamente o mejorar miembros de tu grupo en la ventana del grupo, pulsando el botón Ctrl mientras haces click izquierdo. ^^7.Todos los grupos pueden reforzar a sus aliados como el grupo de un Lord y ellos pueden entrar en la batalla directamente.^^8. Si te encuentras a un enemigo mas fuerte y abandonas a algunos soldados atras para retirarte y despues escapar el movimiento de tu grupo sera el doble durante una hora y media (Tiempo del juego), despues de ese tiempo la velocidad volvera a la normalidad.^^9. Puedes activar las formaciones en el menu de opciones del mod.^^10. Puedes ordenar a tus tropas moverse a un lugar presionando y manteniendo pulsada la tecla F1.  ^^11. Los caballos y los hombres se mueven mas despacio debajo de la lluvia. ^^12. Puedes esperar en la pantalla del mundo manteniendo pulsada la tecla espacio. ^^13. Puedes reclutar nuevos hombres a tu grupo en tabernas,aldeas,castillos y ciudades. ^^14. Puedes dar ordenes a tus tropas durante la batalla. ^^15.Un grupo con la moral alta se movera mas rapidante mientras viaja por el mapa. ^^16. Los miembros de tu grupo heridos se curaran mas rapido mientras descansen en tabernas. ^^17. Puedes comprar y vender items rapidamente en la ventana del inventario manteniendo pulsado la tecla CTRL mientras haces click izquierdo. ^^18. Puedes pulsar la tecla retroceso durante la batalla para que aparezca la interfaz de comandante. ^^19. Pagaras la mitad a tus tropas mientras estes esperando en una ciudad o castillo, pagaras la mitad a las tropas que tengas de guarnición en un castillo. ^^20. Puedes abandonar cualquier localización instantaneamente pulsando la tecla tabulador. ^^21. Pueden mantener pulsado la tecla shift para hace zoom mientras apuntas a enemigos a distancia. ^^22. Puedes hablar a diferentes  Lords alrededor del mundo. Algunos para poder darte misiones, algunos simplemente tienen una pequeña historia para ti.
ip_morale|Moral
ip_morale_text|La moral representa la habilidad y la disposición de las tropas  en un grupo para armarse de paciencia,valor y la disciplina que necesitan para hacer frente a las batallas y las marcha. La moral no es lo mismo que la felicidad de las tropas. Las topas de elite pueden quejarse de la dificultad de la campaña --Pero ellos se mantendran unidos en su posición cuando la flechas comiencen a volar. Por otro lado, un comandante que da a sus hombres todo lo que le piden puede encontrarse con el problema de que se vuelvan débiles y huyan ante la  carga de mayor impacto del enemigo.^^ El mayor impacto de la moral es el comportamiento de tus tropas en una batalla, la determinación y la agresividad contra las tropas del enemigo y la probabilidad que exite para romper la formación y escapar si perciben que están perdiendo la batalla. La moral tambien afecta a la velocidad de movimiento de un grupo, los grupos con la moral mas baja se moveran mas lentamente, ya que los hombres no están sobre esforzandose físicamente y las pausas son mas frecuentes ya que tienen que esperar a que les alcanzen los rezagados. Y finalmente un grupo con la moral baja empezara a sufrir  deserciones.^^ Los factores de la moral son muy intuitivos. Por ejemplo, un comandante carismático con reputación de ganar batallas infundira a sus hombres confianza. Los líderes que dan a sus hombres suministros bien amplios y variados de comida, y les pagan a tiempo, demuestran que se preocupan por el bienestar de sus tropas, y son menos propensos a conducirlos hacia el desastre.^^ Otros factores son menos intuitivos - en particular los relacionados con el sentido de cohesión de un grupo. En un grupo pequeño y unido, por ejemplo, los hombres lucharan duro contra una fuerza superior para no mostrar debilidad ante su camaradas-. En cambio un grupo grande puede ver su cohesión tensa, ya que el comandante tiene menos tiempo para supervisar a los hombres, escuchar sus quejas, y resolver sus disputas.Las batallas frecuentes fortalecerán los lazos entre los hombres, mientras que largos períodos sin combate haran que las tropas se aburran.^^ El informe moral, accesible pulsando el botón «notificaciones» le dará al jugador una sensación de los factores que afectan su la moral de los hombres.
ip_economy|Economía
ip_economy_text|Las ciudades y las aldeas en el mundo Clash of Kings necesitan una amplia variedad de productos para sus poblaciones para mantenerse sanos y productivos. El mas importante es la comida. El grano es el alimento básico del mundo conocido, pero la gente también necesita grasa y proteínas en forma de carne, pescado o queseo. Se tarda lo mismo para consevar la carne como para producirla, por lo que la sal también tiene una gran demanda. Después de la comida viene la ropa: lana pesada, ropa más ligera o el terciopelo de lujo. Por último las personas necesitan las herramientas de su oficio : herramientas, cerámica, marroquinería y por supuesto las armas, armaduras y los caballos para la guerra. ^^La mayoría de los productos agrícolas se producen en las aldeas, mientras que los artesanos en las aldeas se especializan en productos manufacturados o artesanales como tejidos o herramientas. Además, los recursos se encuentran en diferente partes del país. En consecuencia la clave para la prosperidad en Poniente y Eassos es el comercio-. Tanto entre los pueblos y las ciudades y entre las ciudades principales. ^^Cuando la ciudad o la aldea tenga fluyendo el comercio los bienes estarán disponibles y mas baratos, la población de un centro estará mas sana y llenos de energía, y los inmigrantes vendrán de las regiones cercanas. La Ciudad/Aldea producira más, consumirá más y seran capaces de pagar mas impuestos para sus señores. Cuando el comercio se para las ciudades y las aldeas verán a sus trabajadores emigrar en busca de trabajo a otros lugares y por lo tanto la actividad económica empeorara o se quedara parada. Por lo tanto los gobernadores están interesados en proteger las rutas comerciales de los peligros de la guerra y de los bandidos. Un comerciante inteligente, puede interesarle buscar ciudades aisladas del resto de la tierra, ya que él/ella puede encontrar productos a bajo precio  para venderlos mas caros.^^ Debido a que los pobladores generalmente llevan sus productos al mercado de las ciudades los mercados de las aldeas acaban siendo lugares mas tranquilos, y los aldeanos buscan comprar barato y vender caro. Comerciantes experimentado se quedaran en las ciudades para obtener beneficios, aunque para algunas ocasiones deciden hacer paradas rápidas en una aldea para conseguir suministros.^^ El jugador que quiera saber sobre los factores que afectan a la prosperidad de una región puede hablar con el maestro de gremio de la ciudad local. Puede extraer mas información a partir de los ciudadanos pero puede que no sepan mucho fuera de su propio comercio.
ip_courtship|Cortejo
ip_courtship_text|Los jugadores pueden querer casarse con una mujer o un hombre de una familia noble. El matrimonio no es necesario para que un jugador consiga aumentar su poder o estatus, pero ofrece la oportunidad de mejorar su relación con otros señores y establecer un derecho al trono.^^Los requisitos para casarse son diferentes dependiendo del sexo del personaje. Un personaje masculino generalmente tiene que seguir un camino tradicional del cortejo. Se debe de establecer una reputación en la sociedad aristocrática, conseguir una buena reputación con los padres o tutores de la novia y despues conquistar a la dama, según la costumbre local. Si un jugador se impacienta puede tratar de tomar un atajo pero tendra consecuencias en sus relaciones con los otros señores.^^Un personaje masculino debe tener en cuenta que otros señores estarán compitiendo con él por el afecto de las damas del reino. Además, los gustos de una dama son impredecibles, y un jugador puede encontrarse que la dama cortejada no este enamorada del jugador. El romance en Poniente y en Eassos como en cualquier lugar no prosperan siempre. Pero el jugador puede recurrir a otros medios menos caballerosos para ganar el corazón de una dama, pero esto tendrá un grave impacto en su reputación.^^Para empezar en el camino del cortejo un hombre debe de tratar de involucrarse en la vida social aristocrática, asistiendo en fiestas y torneos. Tambén, trovadores y poetas errantes pueden servir como guía dandote información útil sobre el noviazgo y mantener al jugador al día sobre los ultimos chismes.^^Los personajes femeninos también pueden casarse pero deben tener en cuenta que la sociedad de Clash of King es muy tradicional y para una mujer ser aventurera es un camino poco convencional. Un personaje femenino tiene que buscar un señor con la mente suficientemente abierta para querer casarse con ella.^^ El lado positivo es que una mujer no tiene que seguir los elaborados rituales de cortejo, y ella puede ganar mas en un matrimonio que un varón. Para una mujer aventurera el matrimonio puede ser una vía rápida para conseguir poder , un personaje sin escrúpulo puede utilizar a su marido como un instrumento para sus ambiciones políticas.
ip_politics|Política
ip_politics_text|Los reinos de Poniente y Essos a pesar de que representan diferente culturas todos siguen el mismo sistema político básico, el feudalismo. El feudalismo se basa en las relaciones entre individuos, los juramentos de lealtad dadas por un señor a su vasallo. A cambio de este juramento el vasallo recibe un feudo como recompensa, un terreno cuyos ingresos utiliza para reclutar tropas para apoyar a su señor en tiempos de guerras. Un señor tambien tiene la obligación de proteger a sus vasallos para que sean tratados con justicia.^^Así es como funciona en teoría pero en la práctica los vasallos no siempre trabajan en los intereses de sus facciones ya que es bastante casual que se peleen entre si. Los nobles tienen personalidades diferentes y a veces esas personalidades chocan entre si. Tal vez dos nobles fueron amigos pero su relación empeoro por una serie de derrotas o poque ambos estaban cortejando a una misma mujer. Los celos tambien sale a flote, ya que compiten por el favor de su rey, tal vez sobre alguna tierra recién conquistada o una disputa por el codiciado rango de Mano del Rey que es el señor encargado de organizar campañas a gran escala.^^Cuando un reino declara la guerra a otro la unidad política de cada reino es tan importante como la calidad o el número de sus soldados para determinar el resultado. En un reino cohesionado los nobles se unirán en una gran fuerza para destruir a sus adversario. En un reino dividido por disputas estúpidas hara que señores no acudan a la llamada de la Mano, o abandonar la campaña para atender sus negocios si las cosas no van bien. La cohesión política de una facción también afectara a una guerra aunque una campaña militar no esté en progreso. En una facción dividida los señores serán menos propensos a unirse a las patrullas o salir en la defensa de otro.^^Si te parece contraproducente que los nobles discutan cuando el enemigo está en el horizonte tenga esto en cuenta, en última instancia la lealtad de un noble no va a una facción o cultura en particular, sino a sí mismos y a su familia. Si un noble siente miedo de que su facción se derrumbe o si él esta siendo descuidado por parte de su señor puede encontrar una razón para retirar su juramento de lealtad y cambiar de bando. Los jugadores deben tener esto en cuenta ya que pueden tener oportunidades de convertir a enemigos descontentos en aliados.
ip_character_backgrounds|Historia del Personaje
ip_character_backgrounds_text|El personaje del jugador puede optar por provenir de diferentes orígenes sociales. Esta opción afectará no sólo en sus habilidades en el inicio de partida y su equipo sino también el curso de su carrera como un aventurero.^^La guerra y la política son dominadas tradicionalmente por los aritócratas varones. Un personaje del jugador noble puede encontrar que entra a este grupo con bastante rapidez pero las mujeres y los plebeyos se enfrentaran a varios obstáculos adicionales en su camino. Si deciden iniciar el juego como un noble varón se puede pensar en su ajuste como ``facíl´´. Comenzando como una mujer noble o plebeyo hombre es un poco más difícil, y comenzando como un plebeyo hembra es probablemente la manera mas difícil de empezar un juego.^^Sin embargo, las mujeres tienen algunas ventajas iniciales. Simplemente tomando las armas una mujer guerrera llamará la atención sobre sí misma, y puede descubrir que puede aumentar su reputación mas rapidamente que un hombre.Además, es tradicionalmente más fácil para una mujer contraer matrimonio de lo que es para un hombre y para una mujer puede encontrar que ella puede ganar mas que un hombre en un matrimonio estratégico.^^Por último, tenga en cuenta que el juego no pone límites a la capacidad de ascender el personaje por sus antecedentes. Noble o común, hombre o mujer, casado o soltero cualquier persona puede elevarse para convertirse en gobernante de todo el mundo, si son lo suficiente valientes,afortunados o ingeniosos.
ip_military_campaigns|Campañas militares
