qst_deliver_message|Entregad el mensaje a {s13}
qst_deliver_message_to_enemy_lord|Entregad el mensaje al {s13}
qst_raise_troops|Reunid {reg1} {s14}
qst_escort_lady|Escoltad a {s13} a {s14}
qst_deal_with_bandits_at_lords_village|Salvad a la aldea de {s15} de los Bandidos Merodeadores
qst_collect_taxes|Recaudad los impuestos de {s3}
qst_hunt_down_fugitive|Dad caza a {s4}.
qst_kill_local_merchant|Asesinad a un mercader local en {s3}.
qst_bring_back_runaway_serfs|Capturad a los siervos fugitivos.
qst_follow_spy|Seguid al espía.
qst_capture_enemy_hero|Capturad a un Señor de {s13}.
qst_lend_companion|Prestad a vuestro compañero {s3} a {s9}.
qst_collect_debt|Recaudad la deuda que el {s3} debe al {s9}
qst_incriminate_loyal_commander|Incriminad al Comandante leal de {s13}, {s16}.
qst_meet_spy_in_enemy_town|Encontraos con el espía en {s13}.
qst_capture_prisoners|Traed {reg1} prisioneros {s3}.
qst_deliver_love_letter|Entregad el mensaje a {s13}
qst_lend_surgeon|Prestad a vuestro cirujano, {s3}, al {s1}.
qst_follow_army|Seguid al ejército del {s9}.
qst_report_to_army|Reportad ante {s13}, la Mano del Rey.
qst_deliver_cattle_to_army|Entregad {reg3} cabezas de ganado al {s13}.
qst_join_siege_with_army|Uníos al asedio de {s14}.
qst_screen_army|Observad el avance del ejército del {s13}
qst_scout_waypoints|Explorad {s13}, {s14} y {s15}.
qst_rescue_lord_by_replace|Rescatad al {s13} de {s14}.
qst_deliver_message_to_prisoner_lord|Entregad el mensaje del {s13} en {s14}.
qst_duel_for_lady|Retad al {s13} a un Duelo por combate.
qst_duel_courtship_rival|Retad al {s13} a un Duelo por combate (opcional).
qst_duel_avenge_insult|Retad al {s13} a un Duelo por combate.
qst_move_cattle_herd|Trasladad el rebaño de ganado a {s13}.
qst_escort_merchant_caravan|Escoltad la caravana de mercancías hasta {s8}.
qst_deliver_wine|Entregad {reg5} unidades de {s6} a {s4}.
qst_troublesome_bandits|Dad caza a los bandidos problemáticos.
qst_kidnapped_girl|Rescatad a la doncella presa por bandidos.
qst_persuade_lords_to_make_peace|Aseguraos de que los Señores no impidan la paz.
qst_deal_with_looters|Ocupaos de los saqueadores.
qst_deal_with_night_bandits|Ocupaos de los bandidos nocturnos.
qst_cheese_rustlers|Cazad ladrones de grano
qst_cheese_rustlers_text|{s9} de {s4} te ha pedido dar caza a los ladrones de grano cerca de la ciudad.
qst_cheese_paladins|Acabad con los ladrones de vino
qst_cheese_paladins_text|{s9} de {s4} te ha pedido dar caza a los ladrones de vino cerca de la ciudad.
qst_bar_brawl|Limpiad la ciudad
qst_bar_brawl_text|{s9} de {s4} os ha pedido hacer frente a los matones en las inmediaciones de la taberna.
qst_deliver_grain|Llevad trigo a {s3}.
qst_deliver_cattle|Entregad {reg5} cabezas de ganado en {s3}
qst_train_peasants_against_bandits|Entrenad a los campesinos de {s13} para defenderse contra los bandidos.
qst_escort_scholars|Escoltar a los nobles a {s8}
qst_escort_scholars_text|Escoltar a los nobles a la ciudad de {s8}.
qst_hunt_down_smugglers|Perseguid a los contrabandistas
qst_hunt_down_smugglers_text|{s9} os ha pedido hacer frente a los contrabandistas. Él dijo que los tres grupos escaparon en dirección a {s3}.
qst_hunt_down_girl|Cazar a {s4}
qst_hunt_down_girl_text|{s9} os preguntó si daréis caza a la chica llamada {s4}. Se cree que actualmente está en {s3}.
qst_deliver_lumber|Traiga la madera a {s3}
