qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Shot_distance:_{s1}_|Distancia de tiro: {s1} metros
qstr_Next_Page|Página Siguiente
qstr_Game_Rules:^|Reglas del juego:^
qstr_0|0
qstr_Show_game_rules|Mostrar las reglas
qstr_Continue...|Continuar...
qstr_Candidate_#1:_{s1}|Candidato #1: {s1}
qstr_Candidate_#2:_{s1}|Candidato #2: {s1}
qstr_{s3}_of_the_{s4}_wis|{s3} de {s4} desea elegir una nueva Mano, y para ello invita a sus banderizos a un consejo. {s1} y {s2} son los candidatos para el puesto.
qstr_Who_do_you_wish_to_s|¿A quién queréis apoyar?
qstr_{s1}_gives_his_suppo|{s1} da su apoyo a {s2}.
qstr_Number_of_Supporters|Número de partidarios: {reg0}
qstr_{s2}_has_heard_his_v|{s2} ha escuchado el consejo de sus vasallos y ha elegido a {s1} como Mano de {s3}.
qstr_Action|Acción
qstr_Mount|Montad
qstr_Attack_Type|Tipo de ataque
qstr_Stand_Ground|Mantened posición
qstr_Charge|Cargad
qstr_Follow_Me|Seguidme
qstr_Hold_This_Position|Mantened esta posición
qstr_Spread_Out|Alejaos
qstr_Stand_Closer|Acercaos
qstr_Fall_Back|Retroceded
qstr_Advance|Avanzad
qstr_Dismount|Desmontar
qstr_Fire_At_Will|Disparad a discreción
qstr_Hold_Your_Fire|No disparéis
qstr_Use_Blunt_Weapons|Usad armas contundentes
qstr_Use_Any_Weapon|Usad cualquier arma
qstr_Ready|Listos
qstr_Wounded|Heridos
qstr_Dead|Muertos
qstr_Number_of_men_knocke|Número de hombres inconscientes: {reg1}
qstr_Number_of_men_left:_|Número de hombres restantes: {reg1}
qstr_Opponents_Beaten:_{r|Oponentes vencidos: {reg1}
qstr_Opponents_Remaining:|Oponentes en pie: {reg1}
qstr_Remain_in_retirement|Permanecer en retiro.
qstr_Go_back_to_the_adven|Regresar a la aventura.
qstr_You_have_retired_at_|Os habéis retirado a nivel {reg4} tras {reg5} días de aventuras.
qstr_Effect_on_Score|Efecto en la puntuación
qstr_Settlements_owned_by|Vuestros asentamientos: {reg0}
qstr_Friendly_Settlements|Asentamientos amigos: {reg0}
qstr_Hostile_Settlements:|Asentamientos hostiles: {reg0}
qstr_Friendly_Lords:_{reg|Señores amigos: {reg0}
qstr_Enemy_Lords:_{reg0}|Señores hostiles: {reg0}
qstr_Victories:_{reg0}|Victorias: {reg0}
qstr_Defeats:_{reg0}|Derrotas: {reg0}
qstr_Quests_Completed:_{r|Misiones completadas: {reg0}
qstr_Companions_Found:_{r|Compañeros encontrados: {reg0}
qstr_Companions_Lost/Depa|Compañeros perdidos/retirados: {reg0}
qstr_Wealth:_{reg0}_denar|Riqueza: {reg0} monedas
qstr_Inventory:_{reg0}_de|Inventario: {reg0} monedas
qstr_Renown:_{reg0}|Renombre: {reg0}
qstr_Experience:_{reg0}|Experiencia: {reg0}
qstr_Days_Passed:_{reg0}|Días transcurridos: {reg0}
qstr_Difficulty:_{reg0}%|Dificultad: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|PUNTUACION TOTAL: {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|Ninguno
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|Empleados:
qstr_Tributes_from_your_n|Tributo de vuestros nobles:
qstr_You_paid_{reg0}_cash|Habéis pagado {reg0} monedas en efectivo para liquidar una deuda.
qstr_Earlier_cash:|Anterior dinero en efectivo:
qstr_New_cash:|Nuevo dinero en efectivo:
qstr_Done|Hecho
qstr_Name:_{s1}^Level:_{r|Nombre: {s1}^Nivel: {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|Opciones de actulización de armas:
qstr_Apply_to_everyone|Aplicar a todos
qstr_Upgrade_armor_|Actualizar armadura
qstr_Upgrade_horse_|Actualizar caballo
qstr_Price_threshold_of_i|Precio límito de los objetos a seleccionar:
qstr_Select_your_domestic|Selecciona vuestra política interna.
qstr_Centralization:|Centralización:
qstr_Aristocracy:|Aristocracia:
qstr_Serfdom:|Servidumbre:
qstr_Troop_quality:|Calidad de las tropas:
qstr_Mercantilism:|Mercantilismo:
qstr_High_centralization_|Una alta centralización permite reducir la ineficacia de impuestos para el rey y la eleva para vasallos. Esto interfiere las relaciones entre el gobernante y vasallos.
qstr_High_aristocracy_wil|Una alta aristocracia ayuda a mejorar las relaciones entre el rey y sus vasallos, los cuales serán capaces de aumentar sus ejércitos, pero en cambio, disminuye el comercio.
qstr_High_serfdom_reduces|Una alta servidumbre ayuda a reducir la ineficacia de impuestos para el rey y sus vasallos y éstos pueden mantener a grandes ejércitos, pero a las tropas les bajará la moral.
qstr_High_troop_quality_i|Una alta calidad de las tropas aumenta la fuerza de tropas, pero disminuye el tamaño del ejército.
qstr_Mercantilistic_polic|Un alto mercantilismo aumenta la exportación mientras minimiza la importación, también incrementa la regulación gubernamental de la industria.
qstr_Cancel|Cancelar
qstr_Dictate_the_peace_te|Dictar los términos par la paz
