trp_multiplayer_profile_troop_male|perfil tropa multijugador hombre
trp_multiplayer_profile_troop_male_pl|perfil multijugador masculino
trp_multiplayer_profile_troop_female|perfil multijugador femenino
trp_multiplayer_profile_troop_female_pl|perfil multijugador femenino
trp_temp_troop|Tropa temporal
trp_temp_troop_pl|Tropa temporal
trp_find_item_cheat|truco encontrar objeto
trp_find_item_cheat_pl|truco encontrar objeto
trp_random_town_sequence|Secuencia al azar del pueblo
trp_random_town_sequence_pl|Secuencia al azar del pueblo
trp_tournament_participants|Participantes del torneo
trp_tournament_participants_pl|Participantes del torneo
trp_tutorial_maceman|Macero
trp_tutorial_maceman_pl|Macero
trp_tutorial_archer|Arquero
trp_tutorial_archer_pl|Arquero
trp_tutorial_swordsman|Espadachín
trp_tutorial_swordsman_pl|Espadachín
trp_novice_fighter|Luchador novicio
trp_novice_fighter_pl|Luchadores novicios
trp_regular_fighter|Luchador regular
trp_regular_fighter_pl|Luchadores regulares
trp_veteran_fighter|Luchador veterano
trp_veteran_fighter_pl|Luchadores veteranos
trp_champion_fighter|Luchador campeón
trp_champion_fighter_pl|Luchadores campeones
trp_arena_training_fighter_1|Luchador novicio
trp_arena_training_fighter_1_pl|Luchadores novicios
trp_arena_training_fighter_2|Luchador novicio
trp_arena_training_fighter_2_pl|Luchadores novicios
trp_arena_training_fighter_3|Luchador regular
trp_arena_training_fighter_3_pl|Luchadores regulares
trp_arena_training_fighter_4|Luchador regular
trp_arena_training_fighter_4_pl|Luchadores regulares
trp_arena_training_fighter_5|Luchador regular
trp_arena_training_fighter_5_pl|Luchadores regulares
trp_arena_training_fighter_6|Luchador veterano
trp_arena_training_fighter_6_pl|Luchadores veteranos
trp_arena_training_fighter_7|Luchador veterano
trp_arena_training_fighter_7_pl|Luchadores veteranos
trp_arena_training_fighter_8|Luchador veterano
trp_arena_training_fighter_8_pl|Luchadores veteranos
trp_arena_training_fighter_9|Luchador campeón
trp_arena_training_fighter_9_pl|Luchadores campeones
trp_arena_training_fighter_10|Luchador campeón
trp_arena_training_fighter_10_pl|Luchadores campeones
trp_cattle|Ganado
trp_cattle_pl|Ganado
trp_mercenary_n_townsman|Ciudadano rebelde
trp_mercenary_n_townsman_pl|Ciudadanos rebeldes
trp_mercenary_r_townsman|Guardia de caravana
trp_mercenary_r_townsman_pl|Guardia de caravana
trp_mercenary_r_extra1|I1 Ciudadano rebelde
trp_mercenary_r_extra1_pl|I1 Ciudadanos rebeldes
trp_mercenary_r_extra2|I1 Ciudadano aventurero
trp_mercenary_r_extra2_pl|I1 Ciudadanos aventureros
trp_mercenary_r_extra3|I1 Ciudadano envidioso
trp_mercenary_r_extra3_pl|I1 Ciudadanos envidiosos
trp_mercenary_r_extra4|I1 Ciudadano viajero
trp_mercenary_r_extra4_pl|I1 Ciudadanos viajeros
trp_mercenary_r_extra5|I1 Ciudadano dócil
trp_mercenary_r_extra5_pl|I1 Ciudadanos dóciles
trp_mercenary_e_townsman|Ciudadano
trp_mercenary_e_townsman_pl|Ciudadanos
trp_mercenary_e_farmer|Granjero
trp_mercenary_e_farmer_pl|Granjeros
trp_mercenary_e_miliz|Espadachín mercenario
trp_mercenary_e_miliz_pl|Espadachines mercenarios
