dlga_start:lco_conversation_end|Ha! Vous êtes là!
dlga_start:close_window.1|Laissez-moi tranquille!!
dlga_start:close_window.2|Je suis en train de jouer de la musique!
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Je tiens à reporter la nomination d'un seigneur jusqu'à ce que je prenne conseil auprès de mes sujets.
dlga_award_fief_to_vassal_defer:close_window|Comme il vous plaira, {sire/madame}. Vous pouvez décider de reporter cela à une date ultérieure.
dlga_award_fief_to_vassal_2:close_window|Comme il vous plaira, {seigneur/ma dame}. 
dlga_event_triggered:center_captured_rebellion|{s1} n'appartient à personne. Qui devrais-je charger de le gérer ? 
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1} 
; dlga_center_captured_rebellion:center_captured_rebellion_2.1|My liege, I want to have {s1} for myself. (fiefs: {s0})
; dlga_center_captured_rebellion:center_captured_rebellion_2.2|My liege, you should have {s1} for yourself. (fiefs: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2_defer|Vous ne devriez nommer personne pour le moment.
dlga_center_captured_rebellion_2_defer:close_window|Hum. D'accord, {playername}. Je prends note de votre judicieux conseil.  Je vais remettre à plus tard la nomination d'un seigneur pour {s1}.
dlga_center_captured_rebellion_2:close_window|Hum, très bien {playername}, j'apprécie votre conseil. {reg6?Je serai:{reg7?Vous serez:{s11} sera}} donc {reg3?la nouvelle dame:le nouveau seigneur} de {s1}.
dlga_start:fighter_talk|Bonjour, nous peaufinons nos techniques de combat avec un peu d'entraînement au corps à corps. Visiblement, un peu d'entraînement ne vous ferait pas de mal. Joignez-vous à nous et nous vous montrerons quelques astuces. Et si vous avez besoin d'explications sur différents concepts de combat, je ferai de mon mieux pour vous donner satisfaction.
dlga_start:fighter_talk.1|À quoi souhaitez-vous vous entraîner ?
dlga_fighter_pretalk:fighter_talk|Dites-moi quel entraînement souhaitez-vous suivre.
dlga_fighter_talk:fighter_talk_train_attack|Je souhaite m'entraîner à attaquer.
dlga_fighter_talk:fighter_talk_train_parry|Je souhaite m'entraîner à bloquer avec mon arme.
dlga_fighter_talk:fighter_talk_train_combat|Entraînons-nous au corps à corps.
dlga_fighter_talk:close_window|[Quitter]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Très bien, vous pourrez principalement porter quatre types de coups : vers la gauche, vers la droite, vertical et l'estoc. À présent, je vais vous indiquer de quelle direction attaquer, puis ce sera à vous. ^^(Déplacez votre souris tout en appuyant sur le bouton gauche de la souris pour indiquer la direction de l'attaque. Par exemple, pour une attaque verticale, déplacez la souris vers le haut au moment où vous appuyez sur le bouton gauche de la souris. Les icônes qui s'affichent à l'écran sont là pour vous guider.)
dlga_fighter_talk_train_attack_2:close_window|Alors commençons, je suis prêt.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Maintenant j'aimerais faire autre chose. 
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Contrairement aux boucliers, parer avec une arme ne peut stopper qu'une attaque venant d'une seule direction. Par exemple si vous parez en haut, vous bloquerez les attaques venant du haut, mais vous pourrez toujours être blessé par une frappe de taille ou d'estoc. 
