fac_no_faction|Groupe sans faction
fac_commoners|Gens du communs
fac_outlaws|Hors-la-loi
fac_neutral|Neutre
fac_innocents|Innocents
fac_merchants|Marchands
fac_player_faction|Ma faction
fac_player_supporters_faction|Mes Partisans
fac_kingdom_1|Terres de l'Orage
fac_kingdom_2|Nord
fac_kingdom_3|Val d'Arryn
fac_kingdom_4|Braavos
; fac_kingdom_5|Qohor
fac_kingdom_6|Dorne
fac_kingdom_8|Peyredragon
fac_kingdom_9|Terres de l'Ouest
fac_kingdom_10|Le Bief
fac_kingdom_11|Iles de Fer
fac_kingdom_12|Pentos
fac_kingdom_13|Tyrosh
fac_kingdom_14|Myr
fac_kingdom_15|Lys
fac_kingdom_16|Volantis
fac_kingdom_17|Norvos
fac_kingdom_18|Lorath
fac_kingdom_19|Les Trois Soeurs
fac_kingdom_20|Maison Targaryen
fac_kingdom_21|Le Peuple Libre
fac_kingdom_22|Les Khizra Khalasar
; fac_crannogmen|Crannogmen
fac_beowulf_warband|Les Braves Compagnons
fac_ramsay_snow|Le Bâtard de Bolton
fac_bloodborn|Les Renégats du Crossing
fac_fac_wights|Revenants
fac_manhunters|Chasseurs de primes
fac_deserters|Déserteurs
fac_mountain_bandits|Bandits des Montagnes
fac_forest_bandits|Bandits des Forêts
