str_no_string|AUCUNE CHAÎNE !
str_empty_string| 
str_yes|Oui.
str_no|Non.
str_blank_string| 
str_noone|aucune
str_s50_and_s51|{s50} et {s51}
str_s52_and_s51|{s52} et {s51}
str_s5_s_party|Armée de {s5}
str_given_by_s1_at_s2|Donnée par {s1} à {s2}
str_given_by_s1_in_wilderness|Donnée par {s1} alors qu'il était sur le terrain 
str_s7_raiders|{s7} pillards
str_bandits_eliminated_by_another|Les bandits agressifs ont été éliminés par un autre groupe.
str_msg_battle_won|Victoire ! Appuyez sur la touche Tab pour quitter...
str_tutorial_map1|Vous êtes actuellement sur la carte du monde. Faites un clic gauche pour déplacer votre groupe vers cet endroit de la carte, pour rentrer dans le bourg sélectionné ou pour poursuivre le groupe sélectionné. Le temps arrêtera de s'écouler sur la carte terrestre si votre groupe ne se déplace pas, n'attend pas ou ne se repose pas. Pour laisser le temps s'écouler à n'importe quel endroit, vous pouvez simplement maintenir la barre d'espace enfoncée.
str_cheese_rustlers_eliminated_by_another|Les voleurs ont été éliminés par une autre armée.
str_elites_eliminated_by_another|Les paysans ont été éliminés par une autre armée.
str_randomize|aléatoire
str_charge|Charge
str_color|Couleur
str_flip_horizontal|Bascule horizontale
str_flip_vertical|Bascule verticale
str_hold_fire|Cesser le feu
str_blunt_hold_fire|Contondant / Cesser le feu
str_tutorial_ammo_refilled|Munitions rechargées.
str_tutorial_failed|Vous avez été vaincu, mais ne vous inquiétez pas. Suivez les instructions attentivement et vous ferez mieux la prochaine fois. Appuyez sur la touche Tab pour revenir au menu où vous pouvez choisir de recommencer ce didacticiel.
str_finished|(Fini)
str_delivered_damage|{reg60} dégâts causés.
str_archery_target_hit|Distance : {reg61} mètres. Score : {reg60}
str_use_baggage_for_inventory|Utilisez votre malle pour accéder à votre inventaire pendant la bataille (elle se trouve à votre position de départ)
str_cant_use_inventory_now|Impossible d'accéder à l'inventaire pour le moment.
str_cant_use_inventory_arena|Impossible d'accéder à l'inventaire dans l'arène.
str_cant_use_inventory_disguised|Impossible d'accéder à l'inventaire lorsque vous êtes déguisé.
str_cant_use_inventory_tutorial|Impossible d'accéder à l'inventaire dans le camp d'entraînement.
str_1_denar|1 denier
str_reg1_denars|{reg1} deniers
str_january_reg1_reg2|{reg1} de la première lune, {reg2} {reg3} Heures
str_february_reg1_reg2|{reg1} de la deuxième lune, {reg2} {reg3} heures
str_march_reg1_reg2|{reg1} de la troisième lune, {reg2} {reg3} heures
str_april_reg1_reg2|{reg1} de la quatrième lune, {reg2} {reg3} heures
str_may_reg1_reg2|{reg1} de la cinquième lune, {reg2} {reg3} heures
str_june_reg1_reg2|{reg1} de la sixième lune, {reg2} {reg3} heures
str_july_reg1_reg2|{reg1} de la septième lune, {reg2} {reg3} heures
str_august_reg1_reg2|{reg1} de la huitième lune, {reg2} {reg3} heures
str_september_reg1_reg2|{reg1} de la neuvième, {reg2} {reg3} heures
str_october_reg1_reg2|{reg1} de la dixième lune {reg2} {reg3} heures
str_november_reg1_reg2|{reg1} de la onzième lune, {reg2} {reg3} heures
str_december_reg1_reg2|{reg1} de la douzième lune, {reg2} {reg3} heures
str_january_reg1_reg2_v2|{reg1} de la première lune, {reg2} {reg3} heures
str_february_reg1_reg2_v2|{reg1} de la deuxième lune, {reg2} {reg3} heures
str_march_reg1_reg2_v2|{reg1} de la troisième lune, {reg2} {reg3} heures
str_april_reg1_reg2_v2|{reg1} de la quatrième lune, {reg2} {reg3} heures
str_may_reg1_reg2_v2|{reg1} de la cinquième lune, {reg2} {reg3} heures
str_june_reg1_reg2_v2|{reg1} de la sixième lune, {reg2} {reg3} heures
str_july_reg1_reg2_v2|{reg1} de la septième lune, {reg2} {reg3} heures
str_august_reg1_reg2_v2|{reg1} de la huitième lune, {reg2} {reg3} heures
str_september_reg1_reg2_v2|{reg1} de la neuvième lune, {reg2} {reg3} heures
str_october_reg1_reg2_v2|{reg1} de la dixième lune, {reg2} {reg3} heures
str_november_reg1_reg2_v2|{reg1} de la onzième lune, {reg2} {reg3} heures
str_december_reg1_reg2_v2|{reg1} de la douzième lune, {reg2} {reg3} heures
str_town_nighttime|Il est très tard dans la nuit et les gens honnêtes sont rentrés chez eux.
str_door_locked|La porte est fermée.
str_castle_is_abondened|Le château semble être inoccupé.
str_town_is_abondened|Le bourg n'a pas de garnison le protégeant.
str_place_is_occupied_by_player|Cet endroit est occupé par vos propres troupes.
str_place_is_occupied_by_enemy|Cet endroit est occupé par des troupes hostiles.
str_place_is_occupied_by_friendly|Cet endroit est occupé par des troupes alliées.
str_do_you_want_to_retreat|Êtes-vous sûr de vouloir vous replier ?
str_give_up_fight|Abandonner le combat ?
str_do_you_wish_to_leave_tutorial|Souhaitez-vous quitter le didacticiel ?
str_do_you_wish_to_surrender|Souhaitez-vous déposer les armes?
str_can_not_retreat|Impossible de se replier, il y a trop d'ennemis à proximité !
str_s1_joined_battle_enemy|{s1} a rejoint l'ennemi dans la bataille.
str_s1_joined_battle_friend|{s1} vous a rejoint dans la bataille.
str_entrance_to_town_forbidden|Les gardes du bourg sont à l'affût des intrus et il semble que vous ne pourrez pas franchir les portes sans encombre.
str_sneaking_to_town_impossible|Les gardes du bourg sont alertés. Vous ne pourrez pas franchir cette porte sans vous faire repérer, peu importe le type de déguisement que vous utilisez.
str_battle_won|Vous avez gagné la bataille !
str_battle_lost|Vous avez perdu la bataille !
str_attack_walls_success|Au terme d'un combat sanglant, vos braves soldats parviennent à reprendre les remparts aux ennemis.
str_attack_walls_failure|Vos soldats succombent, vague après vague, dans l'attaque des remparts et les quelques survivants se dispersent et s'enfuient rapidement, pour ne jamais revenir.
str_attack_walls_continue|Une bataille sanglante s'ensuit dans laquelle les deux camps se battent à armes égales. Malgré les efforts de vos troupes, le château reste entre les mains de l'ennemi.
str_order_attack_success|Vos hommes se battent courageusement et triomphe de l'ennemi.
str_order_attack_failure|Vous regardez avec désespoir la bataille pendant laquelle les ennemis abattent vos soldats et expulsent ensuite les quelques survivants en piteux état.
str_order_attack_continue|Malgré une escarmouche prolongée, vos troupes n'étaient pas en mesure de gagner une victoire décisive.
str_join_order_attack_success|Vos hommes se battent efficacement aux côtés de vos alliés, qui partagent la gloire suscitée par la défaite de vos ennemis.
str_join_order_attack_failure|Vous regardez avec désespoir la bataille dans laquelle les ennemis abattent vos soldats et expulsent ensuite les quelques survivants en piteux état.
str_join_order_attack_continue|Malgré une escarmouche prolongée, ni vos troupes ni celles de vos alliés étaient en mesure de remporter une victoire décisive sur l'ennemi. 
