ip_mod_tips|Astuces
ip_mod_tips_text|1. Vous pouvez sélectionner un personnage dans votre armée pour assurer le commandement et diriger les batailles et ainsi contrôler personnellement le déroulement des batailles. ^^ 2. Dans le menu de l'autogestion du butin, vous pouvez laisser les compagnons prendre ce qui les intéresse automatiquement dans le butin, vous pouvez aussi leur parler pour leur dire comment mettre à niveau leurs équipements. ^^ 3. Vos compagnons peuvent également lire des livres, et vous pouvez utiliser "Autogestion du butin" pour les laisser sélectionner et lire des livres automatiquement. ^^ 4. Vous pouvez ajuster les variations de la météo, régler la fréquence de la pluie et de la neige dans les options du Camp. Il neigera dans les zones montagneuses et il pleuvra sur les autres terres. ^^ 5. Au cours de l'auto-vente, les biens dans l'inventaire des compagnons qui ont été sélectionnés dans ce type de vente et dont les prix se trouvent sous la limite des prix de l'auto-vente seront vendus automatiquement à tous les marchands dans les villes ou aux anciens des villages. Par contre les aliments, les marchandises et les livres ne seront jamais vendus. ^^ 6. Pour déplacer rapidement, les articles ou les mettre à niveau dans la fenêtre de l'inventaire,  maintenez enfoncée la touche CTRL pendant que vous faites un clic gauche. ^^ 7. Tout soldat peut renforcer l'armée d'un Seigneur allié  et peut le rejoindre directement dans la bataille. ^^ 8. Si vous rencontrez des ennemis plus forts et laisser quelques soldats derrière vous pour couvrir votre retraite ou après s'être échappé, la vitesse de déplacement sera augmentée de deux fois la vitesse normale pour une demi-heure (temps de jeu), puis elle reviendra à la vitesse normale. ^^ 9. Vous pouvez activer des formations dans le menu options du module. ^^ 10. Vous pouvez commander à vos soldats de se déplacer à un endroit en appuyant longuement sur la touche 'F1'. ^^ 11. Les hommes et les chevaux se déplacent moins vite par temps de pluie. ^^ 12. Vous pouvez attendre sur la carte du monde en appuyant sur la barre d'espace. ^^ 13. Vous pouvez recruter de nouveaux hommes pour votre armée dans les tavernes, les villages, les châteaux et les villes. ^^ 14. Vous pouvez donner des ordres à votre armée durant la bataille. ^^ 15. Une armée avec un moral élevé se déplacera plus rapidement lors d'un voyage sur la carte. ^^ 16. Les compagnons blessés guériront plus rapidement en se reposant dans les tavernes. ^^ 17. Pour acheter et vendre, rapidement,  des objets dans la fenêtre de l'inventaire, maintenez la touche CTRL enfoncée tandis que vous faites un clic gauche. ^^ 18. Vous pouvez appuyer sur la touche retour arrière au cours d'une bataille pour faire apparaître l'interface des ordres. ^^ 19. Vous devrez payer la moitié des salaires à vos troupes pendant que vous séjournez dans une ville ou un château. De même, vous devrez payer la moitié des salaires aux troupes que vous placez en garnison dans un château. ^^ 20. Vous pouvez quitter n'importe quel endroit instantanément en appuyant sur la touche tab. ^^ 21. Vous pouvez en maintenant enfoncée la touche shift, zoomer pour trouver vos ennemis éloignés. ^^ 22. Vous pouvez parler aux différents personnages rencontrés dans le monde entier. Certains pourront vous donner des quêtes, d'autres pourront avoir juste une histoire à vous narrer.
ip_morale|Moral
ip_morale_text|Le moral aide les soldats d'une armée à trouver les capacités pour obtenir du courage, de l'endurance, et de la discipline dont ils ont besoin pour affronter le stress pendant une bataille et à avancer pendant une longue marche. C'est différent par rapport au bienêtre des troupes. Les troupes d'élite peuvent se plaindre et pleurnicher sur les difficultés de la campagne, mais se serrent les coudes lorsque les flèches commencent à pleuvoir. En revanche, un commandant qui donne à ses hommes tout ce qu'ils veulent peut être confronté à un refus d'obtempérer devant une troupe ennemie ^^ Le plus grand impact du moral se fera sur le comportement de l'armée dans la bataille, il déterminera l'agressivité des soldats à charger l'ennemi, et à contrario leur résistance à fuir en cas de prédominance de l'armée ennemie. Le moral affecte également la vitesse de déplacement d'une armée, moins elle est motivée et plus son déplacement est lent, les hommes n'auront pas l'envie d'aller au delà de leurs limites physiques et s'arrêteront plus souvent pour se reposer, ils feront des pauses pour attendre les retardataires. Enfin, une armée avec un moral très bas va commencer à souffrir de désertions. ^^ Certains facteurs qui influent sur le moral sont intuitifs. Par exemple, un commandant charismatique avec la réputation d'avoir remporté des batailles peut inspirer ses hommes d'un sentiment de confiance. Un dirigeant qui donne à ses hommes une grosse partie du butin et qui varie la nourriture avec des denrées alimentaires et leur verse ponctuellement un salaire, démontre qu'il se soucie du bien-être de ses troupes et démontre ainsi qu'il est moins susceptible de les amener à la catastrophe. ^^ Bien d'autres facteurs sont moins intuitifs--notamment ceux liés au sens de la cohésion du groupe. Une petite armée soudée, par exemple, fera en sorte que les hommes montreront en cours de bataille un courage hors du commun pour éviter d'afficher leur lâcheté devant leurs camarades d'armes. Une grande armée peut en revanche voir sa cohésion partir en débâcle, parce que le commandant a moins de temps pour superviser ses hommes, pour écouter leurs doléances et régler leurs différends. Des batailles fréquentes renforceront les liens entre les hommes, tandis que de longues périodes sans combat verra les troupes s'ennuyer et se quereller. ^^ Le rapport du moral, est accessible en appuyant sur le bouton « Rapports », il donnera au joueur un compte rendu des facteurs affectant le moral de ses hommes.
ip_economy|Economie
ip_economy_text|Les villes et les villages dans le monde de "A Clash of Kings" ont besoin d'une grande variété de produits pour que leur population reste saine et productive. Tout d'abord le plus important est la nourriture. Le grain est la culture de base du monde de "A Clash of Kings", mais le peuple a aussi besoin de graisse et des protéines sous forme de viande, de poisson ou du fromage. Il faut presque autant de travail pour conserver de la viande que pour en produire, c'est pourquoi le sel est aussi très recherché. Après la nourriture viennent les vêtements : la laine lourde, le linge de maison plus léger ou le velours luxueux. Enfin, les gens ont besoin d'outils pour leur métier : la ferronnerie, la poterie, la maroquinerie et, bien sûr, les armes, les armures et les chevaux de guerre ^^ La plupart des produits agricoles sont accessibles dans les villages, tandis que les artisans dans les villes se spécialisent dans les biens manufacturés ou chez les artisans tels que les tissus ou la quincaillerie. En outre, différentes ressources se trouvent dans différentes régions du pays. Par conséquent, la clé de la prospérité dans Westeros est le commerce--aussi bien entre les villages et les villes qu'entre les grandes villes. ^^ Quand les échanges commerciaux prospèrent, les marchandises sont disponibles et abordables, la population sera en bonne santé et énergique et les gens viendront des régions voisines. Les artisans vont produire plus, les citadins consommer plus et pouvoir donner plus de taxes à leurs seigneurs. Quand le commerce périclite, les villes et les villages verront leurs travailleurs fuir pour chercher du travail ailleurs, et l'activité économique va décliner. Ainsi, il est dans l'intérêt des dirigeants de protéger les routes commerciales contre les risques de guerre et les attaques des bandits. Un commerçant intelligent pourra, cependant, vouloir rechercher des villes isolées du reste du monde, où, il ou elle sera peut être en mesure de faire fructifier son pécule via des affaires bien menées. ^^ Parce qu'en général, les villageois s'approvisionnent au marché des villes, les marchés des villages seront des lieux plutôt calmes et les villageois vont acheter à bas prix et revendre plus cher. Des marchands sérieux resteront en ville pour faire du profit, même si quelque fois une armée peut décider de faire une petite halte dans un village afin d'acquérir des vivres. ^^ Un joueur qui veut connaître les facteurs qui influencent la prospérité d'une région peut parler au maître de la Guilde de la ville. D'autres informations peuvent être obtenues auprès des passants, bien qu'ils ne connaissent pas grand-chose en dehors de leur propre profession.
ip_courtship|Relations amoureuses
ip_courtship_text|Les joueurs peuvent souhaiter se marier avec un membre d'une noble famille. Le mariage n'est en soi pas nécessaire pour acquérir gloire et fortune, mais ce peut être un moyen intéressant pour améliorer ses relations avec les seigneurs et établir la possibilité de réclamer le trône.^^Les conditions de ce mariage sont différentes selon le sexe du personnage. Un personnage masculin devra généralement faire à sa dame une cour en bonne et due forme. Il devra d'abord se faire une réputation au sein de l'aristocratie, être en bons termes avec les parents ou tuteurs de sa promise, et bien entendu courtiser sa future épouse suivant les us et coutumes locales. S'il s'impatiente, il peut tenter d'accélérer les choses, mais ses relations avec les autres seigneurs s'en ressentiront.^^Un personnage masculin ne doit pas oublier que les autres seigneurs seront sans doute en compétition avec lui pour gagner l'affection des dames du royaume. De plus, les goûts d'une Dame sont en général imprévisibles, et il est donc possible que la dame de son cœur ne l'apprécie pas. Les romances ne sont pas toujours payées de retour. Bien entendu, il est possible de gagner le cœur d'une Dame en faisant fi des bonnes manières, mais encore une fois, cela peut avoir un sérieux impact sur votre réputation.^^Avant d'entamer la moindre cour, il vaut donc mieux s'impliquer dans la vie sociale de l'aristocratie, en participant aux fêtes et aux tournois. De plus, les ménestrels itinérants peuvent vous être très utiles dans ce genre d'entreprise, et vous tenir au courant des derniers commérages de la noblesse.^^Les personnages féminins peuvent également chercher mariage, mais elles doivent garder à l'esprit que dans la société très traditionnelle de "A Clash of King", avoir choisi le chemin de l'aventure est très mal vu. Une telle femme doit donc avant tout trouver un homme suffisamment ouvert d'esprit pour accepter de l'épouser.^^D'un autre côté, une femme n'a pas besoin de respecter de fastidieux rituels de cour, et peut tirer d'un mariage un profit bien plus important que son équivalent masculin. Pour une aventurière, le mariage peut constituer une façon rapide de s'élever dans la société, et d'ailleurs un personnage peu scrupuleux peut être capable d'utiliser son mari comme un simple tremplin pour ses ambitions politiques.
ip_politics|Politique
ip_politics_text|Les royaumes de Westeros et Essos, bien qu'ils représentent différentes cultures, tous adhèrent au même système politique de base : La féodalité. Le Féodalisme est fondé sur les relations entre les individus : le serment de fidélité donné par un vassal à son suzerain. En échange de ce serment, le vassal reçoit habituellement un fief, une parcelle de terre dont le revenu sera utilisé par le vassal pour lever des troupes afin de soutenir le suzerain en temps de guerre. Un suzerain a également l'obligation de protéger ses vassaux et de les traiter équitablement. ^^ C'est comme cela que ça doit fonctionner en théorie, en tout cas. Dans la pratique, les vassaux ne se comportent pas forcément dans l'intérêt de leur faction, parce que la plupart du temps ils se querellent. Les nobles ont des personnalités différentes, et parfois ces personnalités s'affrontent. Alors que deux nobles étaient autrefois amis, à présent ils sont sur le point de s'entre tuer parce que ils sont tous deux les courtisans de la même Dame. Des jalousies surgiront pour montrer au roi qu'ils sont plus apte à faire la guerre que cet autre seigneur -- afin d'obtenir de nouvelles terres, ou pour avoir l'honneur tant convoité d'être le nouveau  maréchal, le Seigneur qui sera chargé d'organiser des campagnes à grande échelle. ^^ Quand un Royaume fait la guerre à un autre, l'unité politique de chaque Royaume est aussi importante que la qualité ou le nombre de ses soldats, ces données peuvent être cruciales pour en déterminer les résultats. Dans un Royaume cohésif, les nobles pourront réunir une grande force qui balaiera les adversaires se trouvant devant eux. Dans un royaume divisé par des querelles mesquines, les seigneurs ne pourront pas répondre à l'appel du maréchal, et se disperseront pour s'occuper de leurs propres affaires au lieu d'aller en campagne contre des ennemis. La cohésion politique d'une faction se répercutera également par temps de paix. Dans une faction divisée, les seigneurs seront moins enclins à s'unir pour partir sur des raids et des patrouilles, et ainsi assurer une bonne défense du pays. ^^ La défense sera mis à mal si les nobles passent leur temps à se quereller quand l'ennemi est à l'horizon, gardez cela à l'esprit--en fin de compte, la loyauté du noble n'est pas assignée à une faction particulière ou une culture, mais c'est intrinsèque à lui-même et à sa famille. Si un noble craint que sa faction s'effondre, ou si il est négligé par son suzerain, il peut généralement trouver une raison d'annuler son serment d'allégeance et changer de camp. Les joueurs devraient en tenir compte, car ils peuvent en profiter pour transformer des ennemis mécontents en seigneurs alliés.
ip_character_backgrounds|Histoires des personnages
