trp_multiplayer_profile_troop_male|Profil multi-joueurs homme
trp_multiplayer_profile_troop_male_pl|Profils multi-joueurs hommes
trp_multiplayer_profile_troop_female|Profil multi-joueurs femme
trp_multiplayer_profile_troop_female_pl|Profils multi-joueurs femmes
trp_temp_troop|Troupe temporaire
trp_temp_troop_pl|Troupes temporaires
trp_find_item_cheat|code de recherche d'objet
trp_find_item_cheat_pl|codes de recherche d'objet
trp_random_town_sequence|Séquence de ville aléatoire
trp_random_town_sequence_pl|Séquences de ville aléatoires
trp_tournament_participants|Participants au tournoi
trp_tournament_participants_pl|Participants au tournoi
trp_tutorial_maceman|Soldat avec masse
trp_tutorial_maceman_pl|Soldat avec masse
trp_tutorial_archer|Archer
trp_tutorial_archer_pl|Archers
trp_tutorial_swordsman|Épéiste
trp_tutorial_swordsman_pl|Épéistes
trp_novice_fighter|Novice
trp_novice_fighter_pl|Novices
trp_regular_fighter|Combattant
trp_regular_fighter_pl|Combattants
trp_veteran_fighter|Vétéran
trp_veteran_fighter_pl|Vétérans
trp_champion_fighter|Champion
trp_champion_fighter_pl|Champions
trp_arena_training_fighter_1|Novice
trp_arena_training_fighter_1_pl|Novices
trp_arena_training_fighter_2|Novice
trp_arena_training_fighter_2_pl|Novices
trp_arena_training_fighter_3|Combattant
trp_arena_training_fighter_3_pl|Combattants
trp_arena_training_fighter_4|Combattant
trp_arena_training_fighter_4_pl|Combattants
trp_arena_training_fighter_5|Combattant
trp_arena_training_fighter_5_pl|Combattants
trp_arena_training_fighter_6|Vétéran
trp_arena_training_fighter_6_pl|Vétérans
trp_arena_training_fighter_7|Vétéran
trp_arena_training_fighter_7_pl|Vétérans
trp_arena_training_fighter_8|Vétéran
trp_arena_training_fighter_8_pl|Vétérans
trp_arena_training_fighter_9|Champion
trp_arena_training_fighter_9_pl|Champions
trp_arena_training_fighter_10|Champion
trp_arena_training_fighter_10_pl|Champions
trp_cattle|Bétail
trp_cattle_pl|Bétail
trp_mercenary_n_townsman|Citadin rebelle
trp_mercenary_n_townsman_pl|Citadins rebelles
trp_mercenary_r_townsman|Garde de caravane
trp_mercenary_r_townsman_pl|Gardes de caravane
trp_mercenary_r_extra1|I1 Citadin rebelle
trp_mercenary_r_extra1_pl|I1 Citadins rebelles
trp_mercenary_r_extra2|I1 Citadin aventurier
trp_mercenary_r_extra2_pl|I1 Citadins aventuriers
trp_mercenary_r_extra3|I1 Citadin rancunier
trp_mercenary_r_extra3_pl|I1 Citadins rancuniers
trp_mercenary_r_extra4|I1 Citadin voyageur
trp_mercenary_r_extra4_pl|I1 Citadins voyageurs
trp_mercenary_r_extra5|I1 Citadin docile
trp_mercenary_r_extra5_pl|I1 Citadins dociles
; trp_mercenary_e_townsman|Sellsword Recruit
; trp_mercenary_e_townsman_pl|Sellsword Recruits
; trp_mercenary_infantry_1|Sellsword Man-at-Arms
; trp_mercenary_infantry_1_pl|Sellsword Men-at-Arms
; trp_mercenary_infantry_2|Veteran Sellsword Man-at-Arms
; trp_mercenary_infantry_2_pl|Veteran Sellsword Men-at-Arms
; trp_mercenary_infantry_3|Elite Sellsword Man-at-Arms
; trp_mercenary_infantry_3_pl|Elite Sellsword Men-at-Arms
; trp_mercenary_archer_1|Sellsword Longbowman
; trp_mercenary_archer_1_pl|Sellsword Longbowmen
; trp_mercenary_archer_2|Veteran Sellsword Longbowman
; trp_mercenary_archer_2_pl|Veteran Sellsword Longbowmen
; trp_mercenary_archer_3|Elite Sellsword Longbowman
; trp_mercenary_archer_3_pl|Elite Sellsword Longbowmen
; trp_mercenary_horseman_1|Hedge Knight
; trp_mercenary_horseman_1_pl|Hedge Knight
