str_no_string|NO STRING!
str_empty_string| 
str_yes|Si.
str_no|No.
str_blank_string| 
str_noone|nessuno
str_s50_and_s51|{s50} e {s51}
str_s52_and_s51|{s52} e {s51}
str_s5_s_party|Compagnia di {s5}
str_given_by_s1_at_s2|Dato da {s1} a {s2}
str_given_by_s1_in_wilderness|Dato da {s1} nella zona
str_s7_raiders|{s7} Razziatori
str_bandits_eliminated_by_another|I banditi sono stati eliminati da un'altra Compagnia.
str_msg_battle_won|La battaglia è vinta! Premi Tab per uscire...
str_tutorial_map1|Stai osservando la mappa strategica. Click-sinistro sulla mappa per muovere la tua Compagnia verso quella locazione, entrare nella città selezionata o seguire un'altra Compagnia. Il gioco entrerà in pausa nella mappa strategica se la tua Compagnia non si muove o si ferma. Puoi attendere e far scorrere il tempo semplicemente tenendo premuta la barra spaziatrice.
str_cheese_rustlers_eliminated_by_another|I ladri sono stati eliminati da un altra compagnia.
str_elites_eliminated_by_another|I contadini sono stati eliminati da un altra compagnia.
str_randomize|Casuale
str_charge|Carica!
str_color|Colore
str_flip_horizontal|Flip Orizzontale
str_flip_vertical|Flip Verticale
str_hold_fire|Non tirate
str_blunt_hold_fire|Brusco / Non tirate
str_tutorial_ammo_refilled|Munizioni Ricaricate.
str_tutorial_failed|Hai subito una sconfitta questa volta, ma non preoccuparti. Segui attentamente le istruzioni e la prossima volta farai meglio. Premi Tab per tornare al Menù Principale e riprovare questo Tutorial.
str_finished|(Completato)
str_delivered_damage|Inflitti {reg60} danni.
str_archery_target_hit|Distanza: {reg61} yard. Punteggio: {reg60}
str_use_baggage_for_inventory|Usa il tuo bagaglio per accedere all'inventario durante la battaglia (si trova nella posizione di partenza).
str_cant_use_inventory_now|Ora non puoi accedere all'inventario.
str_cant_use_inventory_arena|Nell'arena non puoi accedere all'inventario.
str_cant_use_inventory_disguised|Quando usi un camuffamento non puoi accedere all'inventario.
str_cant_use_inventory_tutorial|Nel campo d'addestramento non puoi accedere all'inventario.
str_1_denar|1 denaro
str_reg1_denars|{reg1} denari
str_january_reg1_reg2|{reg1}o giorno della 1a luna, a. {reg2}, ora {reg3}
str_february_reg1_reg2|{reg1}o giorno della 2a luna, a. {reg2}, ora {reg3}
str_march_reg1_reg2|{reg1}o giorno della 3a luna, a. {reg2}, ora {reg3}
str_april_reg1_reg2|{reg1}o giorno della 4a luna, a. {reg2}, ora {reg3}
str_may_reg1_reg2|{reg1}o giorno della 5a luna, a. {reg2}, ora {reg3}
str_june_reg1_reg2|{reg1}o giorno della 6a luna, a. {reg2}, ora {reg3}
str_july_reg1_reg2|{reg1}o giorno della 7a luna, a. {reg2}, ora {reg3}
str_august_reg1_reg2|{reg1}o giorno della 8a luna, a. {reg2}, ora {reg3}
str_september_reg1_reg2|{reg1}o giorno della 9a luna, a. {reg2}, ora {reg3}
str_october_reg1_reg2|{reg1}o giorno della 10a luna, a. {reg2}, ora {reg3}
str_november_reg1_reg2|{reg1}o giorno della 11a luna, a. {reg2}, ora {reg3}
str_december_reg1_reg2|{reg1}o giorno della 12a luna, a. {reg2}, ora {reg3}
str_january_reg1_reg2_v2|{reg1}o giorno della 1a luna, a. {reg2}, ora {reg3}
str_february_reg1_reg2_v2|{reg1}o giorno della 2a luna, a. {reg2}, ora {reg3}
str_march_reg1_reg2_v2|{reg1}o giorno della 3a luna, a. {reg2}, ora {reg3}
str_april_reg1_reg2_v2|{reg1}o giorno della 4a luna, a. {reg2}, ora {reg3}
str_may_reg1_reg2_v2|{reg1}o giorno della 5a luna, a. {reg2}, ora {reg3}
str_june_reg1_reg2_v2|{reg1}o giorno della 6a luna, a. {reg2}, ora {reg3}
str_july_reg1_reg2_v2|{reg1}o giorno della 7a luna, a. {reg2}, ora {reg3}
str_august_reg1_reg2_v2|{reg1}o giorno della 8a luna, a. {reg2}, ora {reg3}
str_september_reg1_reg2_v2|{reg1}o giorno della 9a luna, a. {reg2}, ora {reg3}
str_october_reg1_reg2_v2|{reg1}o giorno della 10a luna, a. {reg2}, ora {reg3}
str_november_reg1_reg2_v2|{reg1}o giorno della 11a luna, a. {reg2}, ora {reg3}
