qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Shot_distance:_{s1}_|Distanza di tiro: {s1} metri.
qstr_Next_Page|Prossima Pagina
qstr_Game_Rules:^|Game Rules:^
qstr_0|0
qstr_Show_game_rules|Mostra le regole del gioco
qstr_Continue...|Continua...
qstr_Candidate_#1:_{s1}|Candidato #1: {s1}
qstr_Candidate_#2:_{s1}|Candidato #2: {s1}
qstr_{s3}_of_the_{s4}_wis|{s3} da {s4} vuole nominare un nuovo Comandante d'armata e chiama i suoi vassalli in consiglio. {s1} e {s2} sono i possibili candidati.
qstr_Who_do_you_wish_to_s|A chi vuoi dare il tuo voto?
qstr_{s1}_gives_his_suppo|{s1} dà il suo voto a {s2}.
qstr_Number_of_Supporters|Numero di voti: {reg0}
qstr_{s2}_has_heard_his_v|{s2} ha valutato il consiglio dei suoi vassalli. È stato scelto {s1} quale Comandante d'armata di {s3}.
qstr_Action|Azione
qstr_Mount|Monta
qstr_Attack_Type|Tipo d'attacco
qstr_Stand_Ground|Resistete!
qstr_Charge|Carica!
qstr_Follow_Me|Seguitemi!
qstr_Hold_This_Position|Tenete questa posizione!
qstr_Spread_Out|Dispiegatevi!
qstr_Stand_Closer|Serrate i ranghi!
qstr_Fall_Back|Ripiegate!
qstr_Advance|Avanzate!
qstr_Dismount|Smontate!
qstr_Fire_At_Will|Tirate a Volontà!
qstr_Hold_Your_Fire|Non tirate!
qstr_Use_Blunt_Weapons|Usate armi contundenti!
qstr_Use_Any_Weapon|Usate armi a scelta!
qstr_Ready|Pronto
qstr_Wounded|Feriti
qstr_Dead|Morti
qstr_Number_of_men_knocke|Numero di uomini storditi: {reg1}
qstr_Number_of_men_left:_|Numero di uomini fuggiti: {reg1}
qstr_Opponents_Beaten:_{r|Avversari battuti: {reg1}
qstr_Opponents_Remaining:|Avversari Rimasti: {reg1}
qstr_Remain_in_retirement|Conferma la tua decisione.
qstr_Go_back_to_the_adven|Torna all'avventura.
qstr_You_have_retired_at_|Hai scelto di ritirarti al livello {reg4} dopo {reg5} giorni di avventura.
qstr_Effect_on_Score|Effetto sul Punteggio
qstr_Settlements_owned_by|Insediamenti posseduti: {reg0}
qstr_Friendly_Settlements|Insediamenti Amici: {reg0}
qstr_Hostile_Settlements:|Insediamenti Ostili: {reg0}
qstr_Friendly_Lords:_{reg|Lord Amici: {reg0}
qstr_Enemy_Lords:_{reg0}|Lord Nemici: {reg0}
qstr_Victories:_{reg0}|Vittorie: {reg0}
qstr_Defeats:_{reg0}|Sconfitte: {reg0}
qstr_Quests_Completed:_{r|Missioni Completate: {reg0}
qstr_Companions_Found:_{r|Compagni Trovati: {reg0}
qstr_Companions_Lost/Depa|Compagni Persi/Partiti: {reg0}
qstr_Wealth:_{reg0}_denar|Ricchezze: {reg0} denari
qstr_Inventory:_{reg0}_de|Inventario: {reg0} denari
qstr_Renown:_{reg0}|Fama: {reg0}
qstr_Experience:_{reg0}|Esperienza: {reg0}
qstr_Days_Passed:_{reg0}|Giorni Passati: {reg0}
qstr_Difficulty:_{reg0}%|Difficoltà: : {reg0}%
qstr_TOTAL_SCORE:_{reg0}|TOTALE PUNTEGGIO: {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|Nessuno
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|Personale:
qstr_Tributes_from_your_n|Tributi da tuoi nobili:
qstr_You_paid_{reg0}_cash|Hai pagato {reg0} denari in contanti per liquidare il debito
qstr_Earlier_cash:|Contanti precedenti:
qstr_New_cash:|Contanti attuali:
qstr_Done|Fatto
qstr_Name:_{s1}^Level:_{r|Nome: {s1}^Livello: {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|Impostazioni aggiornamento armi:
qstr_Apply_to_everyone|Applica a tutti
qstr_Upgrade_armor_|Migliora armatura
qstr_Upgrade_horse_|Migliora cavallo
qstr_Price_threshold_of_i|Soglia del valore degli oggetti per la raccolta:
qstr_Select_your_domestic|Seleziona la politica interna
qstr_Centralization:|Centralizzazione:
qstr_Aristocracy:|Aristocrazia:
qstr_Serfdom:|Servitù:
qstr_Troop_quality:|Qualità truppe:
qstr_Mercantilism:|Mercantilismo:
qstr_High_centralization_|Un'alta centralizzazione riduce l'inefficienza fiscale per il re e l'aumenta per i vassalli. Questo interferirà con i rapporti tra sovrano e vassalli.
qstr_High_aristocracy_wil|Un'alta aristocrazia migliorerà i rapporti tra il re ed i suoi vassalli che saranno in grado di procurarsi eserciti più grandi ma si avrà un commercio ridotto.
qstr_High_serfdom_reduces|Un' alta servitù riduce l'inefficienza fiscale per il re ed i suoi vassalli. I vassalli sono in grado di sostenere eserciti più grandi, ma le truppe perderanno morale.
qstr_High_troop_quality_i|Un'alta qualità delle truppe aumenta la loro forza, ma diminuisce le dimensioni dell'esercito.
qstr_Mercantilistic_polic|Le politica mercantilista massimizza le esportazioni, riducendo al minimo le importazioni, e inoltre aumenta la il controllo del governo nel settore.
qstr_Cancel|Annulla
qstr_Dictate_the_peace_te|Detta le condizioni di pace
qstr_Select_the_castle_an|Seleziona il castello e la quantità di denaro e seleziona le caselle per attivare la richiesta. Le richieste sono combinate se entrambe le caselle sono selezionate.
qstr_1000_denars|1000 denari
qstr__Faction_Relations_R| Report relazioni con le fazioni
qstr__Return_to_menu_| Torna al menu 
qstr_Your_kingdom|Il tuo Regno
qstr_Player^Relation|Giocatore^Rapporto
qstr_War|Guerra
qstr_Casus_Belli|Casus Belli
qstr_Peace|Pace
qstr_Truce|Tregua
qstr_Alliance|Alleanza
qstr_Defense|Difesa
qstr_Trade|Commercio
qstr_{reg59?{reg59}_days:|{reg59?{reg59} giorni:}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|Leale
qstr_Devoted|Devoto
qstr_Fond|Affezionato
qstr_Gracious|Cortese
qstr_Friendly|Amichevole
qstr_Supportive|Solidale
qstr_Favorable|Favorevole
qstr_Cooperative|Cooperativo
qstr_Accepting|Bendisposto
qstr_Indifferent|Indifferente
qstr_Suspicious|Sospettoso
qstr_Grumbling|Polemico
qstr_Hostile|Ostile
qstr_Resentful|Pieno di risentimento
qstr_Angry|Adirato
qstr_Hateful|Pieno d'odio
qstr_Revengeful|Vendicativo
qstr_Vengeful|Molto vendicativo
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}Centri
qstr_{reg62}_Caravans|{reg62} Carovane
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :}Lord
qstr_Sell_items_automatic|Vendi oggetti automaticamente quando esci:
qstr_Price_limit_for_auto|Limite prezzo per auto-vendita:
qstr_Item_types_for_auto_|I tipi di oggetti per auto-vendita:
qstr_Select_all|Seleziona tutto
qstr_Select_invert|Inverti selezione
qstr_{s1}^HP:_{reg0}|{s1}^HP: {reg0}
qstr_Attributes:|Attributi:
qstr_{s3}^STR:_{reg1}^INT|{s3}^FOR: {reg1}^INT: {reg2}^^Abilità:
qstr_{s3}^Power_Strike:_{|{s3}^Colpo Potente: {reg1}^Tiro Potente: {reg2}^Lancio Potente: {reg3}^Tiro con L'arco a Cavallo: {reg4}^^Maestria nelle Armi:
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^Armi ad Una Mano: {reg1}^Armi a Due Mani : {reg2}^Armi con Asta: {reg3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^AGI: {reg1}^CAR: {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^Resistenza: {reg1}^Atletica: {reg2}^Scudo: {reg3}^Cavalcare: {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^Tiro con l'arco: {reg1}^Tiro con balestra: {reg2}^Forza di lancio: {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|Equipaggiamento:
qstr_One_Handed_Weapons|Armi a una mano
qstr_Two_Handed_Weapons|Armi a due mani
qstr_Polearms|Armi con asta
qstr_Ranged_Weapons|Armi a distanza
qstr_Shields|Scudi
qstr_Helmets|Elmi
qstr_Armors|Armature
qstr_Boots|Stivali
qstr_Gauntlets|Guanti
qstr_Horses|Cavalli
qstr_Please_reselect_a_co|Seleziona di nuovo un compagno come comandante per l'imminente battaglia.^^L'attuale comandante è: {s0}.
qstr_Arms:|Braccia:
qstr_{s2}^None|{s2}^Nessuno
