dlga_start:lco_conversation_end|Buyrun.
dlga_start:close_window.1|...
dlga_start:close_window.2|Burda müzik yapmaya çalışıyorum!
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_award_fief_to_vassal_defer:close_window|Tabii ki, {lordum/leydim}. Buna daha sonra karar verebilirsiniz.
dlga_award_fief_to_vassal_2:close_window|Tabii ki, {lordum/leydim}.
dlga_event_triggered:center_captured_rebellion|{s1} herhangi biri tarafından yönetilmiyor. Oranın başına kimi getirmeliyim?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
; dlga_center_captured_rebellion:center_captured_rebellion_2.1|My liege, I want to have {s1} for myself. (fiefs: {s0})
; dlga_center_captured_rebellion:center_captured_rebellion_2.2|My liege, you should have {s1} for yourself. (fiefs: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2_defer|Şimdilik kimesyi atamamalı, sonra karar vermelisiniz.
dlga_center_captured_rebellion_2_defer:close_window|Hmmm. Pekala, {playername}. Düşüncelerin benim için çok değerli. Yakın zamanda {s1} bölgesine bir lord atamalıyım.
dlga_center_captured_rebellion_2:close_window|Hımm... Pekala, {playername}. Tavsiyelerin benim için çok değerli. {s1} topraklarının yeni {reg3?hanımı:efendisi} {reg6?ben olacağım:{reg7?sen olacaksın:{s11} olacak}} .
dlga_start:fighter_talk|Merhabalar. Burada biraz talim yapıp dövüş yeteneklerimizi geliştiriyoruz. Sen de dövüş talimi yapmak istersen bize katılabilirsin. Herhangi bir dövüş tekniğinin açıklamasına ihtiyaç duyarsan, birimize sor, elimizden geldiğince anlatmaya çalışırız.
dlga_start:fighter_talk.1|Neyi talim etmek istersin?
dlga_fighter_pretalk:fighter_talk|Hangi talimi yapmak istersin?
dlga_fighter_talk:fighter_talk_train_attack|Saldırı talimi yapmak istiyorum.
dlga_fighter_talk:fighter_talk_train_parry|Silahımla savunma yapmayı öğrenmek istiyorum.
dlga_fighter_talk:fighter_talk_train_combat|Dövüş talimi yapmak istiyorum.
dlga_fighter_talk:close_window|[Ayrıl]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Pekala. Dört değişik saldırı yönü vardır. Bunlar yukarıdan saldırı, sağdan saldırı, soldan saldırı ve saplama hamlesidir. Bu talimde sana hangi çeşit saldırı yapmanı istediğimi söyleyeceğim, sen de dediğim saldırıyı yapmalısın.  ^^( Saldırı yönünü belirlemek için sol tuşa basarken fareyi hareket ettirin. Örneğin yukarıdan saldırmak için fareyi yukarıya hareket ettirirken sol tuşa basın.  Ekranda görünen ikonlar size yapmanız gereken hareketi gösterecektir.)
dlga_fighter_talk_train_attack_2:close_window|Başlayalım öyleyse. Ben hazırım.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Aslında başka bir şey yapmak istiyorum.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Kalkan her yönden gelen saldırıyı savuşturur. Ama kılıç ya da başka bir silahla blok yapıyorsan, yalnızca blok yaptığın yönden gelen saldırıları durdurabilirsin. Mesela  yukarı blok yapıyorsan sadece yukarıdan aşağıya savrulmuş darbeleri durdurabilirsin, ama rakibin başka çeşit bir saldırı yapıyorsa blokun işe yaramaz.^^(Blok yapmak için farenin sağ tuşuna basılı tutun.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Şimdi sana farklı saldırı çeşitleriyle geleceğim ama silahımla sana vurmadan önce doğru blok hareketini yapmanı bekleyeceğim. Sen de mümkün olduğunca çabuk doğru bloku yapmaya çalış. (Bu egzersiz otomatik blok yönü seçme seçeneğiyle çok kolaydır.  Eğer seçeneklere gidip blok yönü seçimini 'fare ile' veya 'klavye ile' yaparsanız doğru blok yönünü kendiniz seçmek zorunda kalırsınız. Bu çok daha zor olmakla birlikte oyunu da çok daha eğlenceli hale getirir. Bu durumda bloklamayı öğrenmeniz için bu egzersiz çok faydalı olacaktır.)
dlga_fighter_talk_train_parry_3:close_window|Başlayalım öyleyse. Ben hazırım.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Aslında başka bir şey yapmak istiyorum.
