fac_no_faction|No Faction
fac_commoners|Avam
fac_outlaws|Kanunsuzlar
fac_neutral|Tarafsızlar
fac_innocents|Masumlar
fac_merchants|Tüccarlar
fac_player_faction|Oyuncu
fac_player_supporters_faction|Senin Destekçilerin
fac_kingdom_1|The Stormlands
fac_kingdom_2|The North
fac_kingdom_3|The Vale
fac_kingdom_4|Braavos
fac_kingdom_5|The Riverlands
fac_kingdom_6|Dorne
fac_kingdom_8|Dragonstone
fac_kingdom_9|The Westerlands
fac_kingdom_10|The Reach
fac_kingdom_11|The Iron Islands
fac_kingdom_12|Pentos
fac_kingdom_13|Tyrosh
fac_kingdom_14|Myr
fac_kingdom_15|Lys
fac_kingdom_16|Volantis
fac_kingdom_17|Norvos
fac_kingdom_18|Lorath
fac_kingdom_19|3 Kız Kardeş
fac_kingdom_20|House Targaryen
fac_kingdom_21|The Free Folk
fac_kingdom_22|The Khizra Khalasar
fac_crannogmen|Crannogneckmen
fac_beowulf_warband|Cesur Yoldaşlar
fac_ramsay_snow|Bolton'un Piçi
fac_bloodborn|Geçiş Yolundaki Haydut
fac_fac_wights|Wights*
fac_manhunters|Kelle Avcıları
fac_deserters|Kaçaklar
fac_mountain_bandits|Dağ Haydutları
fac_forest_bandits|Orman Haydutları
