menu_start_game_options|Kral Robert'ın büyük bir boğa tarafından katledildiğini duyduğun sırada, Şehir sokaklarında yürüyüşe çıkıyorsun. Konuştuğun balık tüccarı sana Kral'ın Eli Eddard Stark'ın tahta el koyduğunu söylüyor! Ama kral Joffrey'nin danışmanları bunu engelliyor ve barış tekrar sağlanıyor. Fakat, birkaç gün sonra, yorgun görünen bir gezgin daha çok haberle geliyor. Lord Stark'ın hapse atılmasından sonra, Kuzeyli lordlar Lannisterlar'ı yenmek ve derebeylerini kurtarmak için güneye gitmiş. Kingslayer'ın ordusunu pusuya düşürüp, güçlerini gönderip Ser Jaime'yi ele geçirmişler, Riverrun kale kuşatması engellediklerinden sonra . Anında, tuhaf olaylar Joffrey'nin üzerine dönmeye başlamış ve artık şehri sokaklarda haykırılmıyormuş. Hızlı bir karar vererek, hemen dışarı fırlıyorsun, aceleyle bir hancıya yerini satıyorsun ve sadece en gerekli şeyleri yanına alıyorsun. Kendi kaderini kontrol ettiğini hissediyorsun... ve ne olursa olsun, iyi ameller seni bekliyor.
mno_choose_options|Devam et...
mno_start_mod|Hızlı Karakter (mod testi için)
mno_go_back|Geri dön
mno_continue|Devam et...
menu_start_game_3|Senaryonu belirle:
; menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.
; mno_go_back_dot|Go back.
; menu_reports|Character Renown: {reg5}^Honor Rating: {reg6}^Force Morale: {reg8}^Force Size Limit: {reg7}^^{reg9?Next wage:^{s1}:}
; mno_view_party_reports|View Personal Reports
; mno_dplmc_show_economic_report|View prosperity report.
; mno_resume_travelling|Resume travelling.
; menu_reference_reports|Reference Material
; mno_action_view_upgrade_trees|View Upgrade Trees
; mno_action_view_all_items|View All Items
; mno_action_view_trade_ledger|View Your Trade Ledger.
; mno_action_view_trade_ledger_denied|Assess Items to start your Trade Ledger.
; mno_return|Return
; menu_kingdom_reports|Kingdom Reports
; mno_view_faction_relations_report|View Sovereign Relations
; mno_kmt_lord_holdings|Review Lord Holdings
; mno_lord_relations|View Known Lords by Relation
; menu_personal_reports|Personal Reports
; mno_view_character_report|View Character Report
; mno_courtship_relations|View Courtship Relations
; mno_view_affiliated_family_report|View Affiliated Family Report
; mno_view_weekly_budget_report|View Weekly Budget
; menu_cheat_reports|Cheat Menu Reports
; menu_party_reports|Party Reports
; mno_view_party_size_report|View force size report.
; mno_view_morale_report|View force morale report.
; mno_Companions_overview|View companions overview.
; mno_view_npc_mission_report|View companion mission report.
; menu_custom_battle_scene|(NO TRANS)
; menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle. You personally slew {reg7} men in the fighting.
; menu_start_game_0|Welcome, adventurer, to A Clash of Kings, a modification based on the 'A Song of Ice and Fire' series by George R. R. Martin for Mount and Blade: Warband version 1.143. Before beginning the game you must create your character. Remember that in the traditional medieval society depicted in this world, war and politics are usually dominated by male members of the nobility. That does not, however, mean that you should not choose to play a female character, or one who is not of noble birth. Male nobles may have a somewhat easier start, but women and commoners can attain all of the same goals -- and in fact may have a much more interesting, if more challenging, early game.
; menu_start_game_1|Select your character's gender.
; mno_start_male|Male
; mno_start_female|Female
; menu_start_character_1|You were born years ago. Your father was...
; mno_start_noble|An impoverished noble.
; mno_start_merchant|A travelling merchant.
; mno_start_guard|A veteran warrior.
; mno_start_forester|A hunter.
; mno_start_nomad|JON STEWART.
; mno_start_thief|A thief.
; menu_start_character_2|{s10}^^ You started to learn about the world almost as soon as you could walk and talk. You spent your early life as...
; mno_page|A page at a nobleman's court.
; mno_apprentice|A craftsman's apprentice.
; mno_stockboy|A shop assistant.
; mno_urchin|A street urchin.
; mno_nomad|A dothraki child.
; menu_start_character_3|{s11}^^ Then, as a young adult, life changed as it always does. You became...
; mno_squire|A squire.
; mno_lady|A lady-in-waiting.
; mno_troubadour|A singer.
; mno_student|A citadel student.
; mno_peddler|A goods peddler.
; mno_craftsman|A smith.
; mno_poacher|A game poacher.
; menu_start_character_4|{s12}^^But soon everything changed and you decided to strike out on your own as an adventurer. What made you take this decision was...
; mno_revenge|Personal revenge.
; mno_death|The loss of a loved one.
; mno_wanderlust|Wanderlust.
; mno_disown|Being forced out of your home.
; mno_greed|Lust for money and power.
; menu_choose_skill|{s13}
; mno_begin_adventuring|Become an adventurer and ride to your destiny.
; menu_past_life_explanation|{s3}
; mno_view_next|{s5}
