p_zendar|Zendar
p_town_1|Sisterton
p_town_3|Saltpans
; p_town_6|The Weeping Tower
p_town_8|Gulltown
p_town_9|Fairmarket
p_town_12|Pentos
p_town_16|King's Landing
p_town_17|Braavos
p_town_18|Stoney Sept
p_town_19|Sunspear
; p_town_20|The Planky Town
p_town_23|Dragonstonw
p_town_24|Lannisport
p_town_25|Duskendale
p_town_26|Maidenpool
p_town_27|Kayce
p_town_30|Ashford
p_town_31|White HArbor
p_town_32|Oldtown
p_town_33|Pyke
p_town_34|Lordsport
p_town_35|Ironoaks
; p_town_36|The Ruins of Ghoyan Drohe
p_town_38|Lorath
p_town_40|Lys
p_town_41|Barrowton
p_town_42|Tumbleton
; p_town_44|Qohor
p_town_45|Myr
p_town_46|Tyrosh
p_town_47|Volantis
p_town_48|Volon Therys
p_town_49|Valysar
p_town_50|Selhyros
p_town_51|Norvos
; p_town_52|The Ruins of Ny Sar
p_castle_1|Strongsong Kalesi
p_castle_2|Flint's Finger Kalesi
p_castle_3|Bronzegate Kalesi
p_castle_4|Widow'un Gözcüleri
p_castle_5|Rosby Kalesi
p_castle_6|Oldcastle Kalesi
p_castle_7|Seagard Kalesi
p_castle_8|Fellwood Kalesi
p_castle_9|Moat Cailin Kalesi
p_castle_10|Haystack Hall
p_castle_11|Sharp Point
p_castle_12|Wickenden Kalesi
p_castle_13|Stonedance Kalesi
p_castle_14|Iksa Karea
p_castle_15|Last Hearth
p_castle_16|Antlers Kalesi
p_castle_17|Cerwyn Kalesi
p_castle_18|The Crag
p_castle_19|Karhold Kalesi
p_castle_20|Crow's Nest
p_castle_21|Redfort Kalesi
p_castle_22|Deepwood Motte
p_castle_23|Runestone Kalesi
p_castle_24|Kanlı Kapı
p_castle_25|Evenfall Hall
p_castle_26|Pinkmaiden Kalesi
p_castle_27|Mistwood Kalesi
p_castle_28|Snakewood Kalesi
p_castle_29|Harrenhal Kalesi
p_castle_30|Salt Shore
p_castle_31|Banefort Kalesi
p_castle_32|The Dreadfort
; p_castle_33|Coldwater Burn
p_castle_34|The Eyrie
p_castle_35|Longbow Hall
p_castle_36|Old Anchor
p_castle_37|The Crossing
p_castle_39|Acorn Hall
p_castle_40|Blackhaven Kalesi
p_castle_41|Lemonwood Kalesi
p_castle_42|Yronwood Kalesi
p_castle_43|Vaith Kalesi
p_castle_44|Sandstone Kalesi
p_castle_45|The Tor
p_castle_46|Ghost Tepesi
p_castle_47|Godsgrace Kalesi
p_castle_48|Kingsgrave Kalesi
p_castle_49|Blockmont Kalesi
p_castle_50|Nightsong Kalesi
p_castle_51|Ashemark Kalesi
p_castle_52|Casterly Rock
p_castle_53|Crakehall Kalesi
p_castle_54|Sarsfield Kalesi
p_castle_55|Hornvale Kalesi
p_castle_56|Deep Den
p_castle_57|Cornfield Kalesi
p_castle_59|Claw Isle
p_castle_60|Üç Kule
p_castle_61|Uplands
p_castle_63|Bandallon Kalesi
p_castle_64|Yaşlı Çınar
p_castle_65|Goldengorve Kalesi
p_castle_66|Cider Hall
; p_castle_67|Grassfield Keep
p_castle_68|Longtable Kalesi
p_castle_69|Sunhouse Kalesi
p_castle_70|Bitterbridge Kalesi
p_castle_71|Horn Tepesi
p_castle_72|The Arbor
p_castle_73|On Kule
; p_castle_74|The Ruins of Iksa Naron
; p_castle_75|Last Refuge
; p_castle_76|Torturer's Deep
; p_castle_77|Fist of the Daughters
; p_castle_78|Horn of the Seven
; p_castle_79|Daggerstop
p_castle_80|Skyreach Kalesi
; p_castle_82|The Ruins of Iksa Calo
p_castle_83|Griffin's Roost
p_castle_84|Rain House
p_castle_85|Greenstone
p_castle_86|Stone Hedge
p_castle_87|Silverhall Kalesi
p_castle_88|Hornwood Kalesi
; p_castle_89|Raventree Hall
; p_castle_90|Faircastle
; p_castle_91|Pebbleton Tower
; p_castle_92|Feastfires
; p_castle_93|High Hermitage
; p_castle_95|Hammerhorn
; p_castle_96|Grey Garden
; p_castle_99|Wyl
; p_castle_100|Wayfarer's Rest
; p_castle_104|Iron Holt
; p_castle_105|Brightwater Keep
; p_castle_106|Heart's Home
; p_castle_107|The Ruins of Sar Mell
; p_castle_108|Longsister
; p_castle_109|Littlesister
; p_castle_110|Darry
; p_castle_111|Oakenshield
; p_castle_112|Grey Cliffs
; p_castle_115|Red Lake
; p_castle_119|Blacktyde Castle
; p_castle_120|Wyk Hall
; p_castle_127|Riverrun
; p_castle_128|Den of Skulls
; p_castle_129|Winterfell
; p_castle_130|Storm's End
; p_castle_131|Torrhen's Square
; p_castle_132|Stonehelm
; p_castle_133|Highgarden
; p_castle_134|Hellholt
; p_castle_135|Starfall
; p_castle_136|The Golden Tooth
; p_castle_137|High Tide
; p_castle_138|Bear Island
; p_castle_139|Stokeworth
; p_village_1|The Rills
; p_village_2|King's End
; p_village_3|Dragon's Neck
; p_village_4|Laketown
; p_village_5|Whiteoak
; p_village_6|Greyedge
; p_village_7|Deepcrest
; p_village_8|Eastwood
; p_village_9|Winter Market
; p_village_10|The Locke
; p_village_11|The White Village
; p_village_12|Woolfield
; p_village_13|Pike Market
; p_village_14|Crofter's Village
; p_village_15|Overton
; p_village_16|Crow's Rest
; p_village_17|Sentinel's Tree
; p_village_18|Blazewater Bay
; p_village_19|Goldgrass
; p_village_20|Forrester Hall
; p_village_21|Cape Kraken
; p_village_22|Whitehill
; p_village_23|Sevenstreams
; p_village_24|Hag's Mire
; p_village_25|Calwick
; p_village_26|The High Fall
; p_village_27|Sallydance
; p_village_28|High Heart
